query_name,official_id,official_title,query_group,operation_type,root_entity,accessed_entities,relationships_used,weighted_relationships,Rc_distinct,Rc_weighted,D,Re,DeltaR,DeltaRratio,depth_class,structural_reduction_class,association_count,associative_count,containment_count,lookup_count,dominant_semantic_type,entity_volatility_mean,entity_volatility_max,relationship_volatility_mean,relationship_volatility_max,update_volatility_mean,update_volatility_max,update_volatility_class,entity_sharedness_mean,entity_sharedness_max,relationship_sharedness_mean,relationship_sharedness_max,observed_sharedness_mean,observed_sharedness_max,observed_sharedness_class,description
IC5_NewGroups,IC5,New groups,complex_read,read,Person,"['Person', 'Forum', 'Post']","['person_knows_person', 'forum_has_member_person', 'forum_container_of_post', 'post_has_creator_person']","['person_knows_person x2', 'forum_has_member_person x1', 'forum_container_of_post x1', 'post_has_creator_person x1']",4,5,3,2,3,0.6000000000000001,deep,medium,2,1,1,0,association,0.6653279040000001,1.0,0.3850886546,1.0,0.5051911901,1.0,high,0.0161243737559622,0.106448461162677,0.0361402693072522,0.0729360039081582,0.0275620283566993,0.106448461162677,low,Official IC5: find forums joined by friends/friends-of-friends and count their posts.
IC6_TagCoOccurrence,IC6,Tag co-occurrence,complex_read,read,Person,"['Person', 'Post', 'Tag']","['person_knows_person', 'post_has_creator_person', 'post_has_tag']","['person_knows_person x2', 'post_has_creator_person x1', 'post_has_tag x1']",3,4,3,1,3,0.75,deep,high,3,0,0,0,association,0.5731296187,1.0,0.1801182061,0.2575524227,0.3766239124,1.0,high,0.0188532356940605,0.106448461162677,0.0292445657552493,0.0404494382022471,0.0240489007246549,0.106448461162677,low,Official IC6: find tags co-occurring with a given tag on posts by friends/friends-of-friends.
IC7_RecentLikers,IC7,Recent likers,complex_read,read,Person,"['Person', 'Post', 'Comment']","['post_has_creator_person', 'comment_has_creator_person', 'person_likes_post', 'person_likes_comment', 'person_knows_person']","['post_has_creator_person x1', 'comment_has_creator_person x1', 'person_likes_post x1', 'person_likes_comment x1', 'person_knows_person x1']",5,5,2,3,2,0.4,medium,medium,3,2,0,0,association,0.5668116799,1.0,0.2487604154,0.370959207,0.3680296396,1.0,high,0.0173685055162052,0.106448461162677,0.0351504563947094,0.106448461162677,0.0284822248152703,0.106448461162677,low,Official IC7: find recent likes on a person's messages and whether likers are friends.
INS1_AddPerson,INS1,Add person,insert,insert,Person,"['Person', 'Place', 'Tag', 'Organisation']","['person_is_located_in_place', 'person_has_interest_tag', 'person_study_at_organisation', 'person_work_at_organisation']","['person_is_located_in_place x1', 'person_has_interest_tag x1', 'person_study_at_organisation x1', 'person_work_at_organisation x1']",4,4,1,3,1,0.25,shallow,low,4,0,0,0,association,0.3915906797,1.0,0.0013584488,0.0013584488,0.1964745643,1.0,high,0.1093035262430238,1.0,0.0028842005188028,0.0084513922813873,0.0560938633809133,1.0,high,"Official INS1: add a Person connected by location, interests, studyAt and workAt."
INS2_AddLikeToPost,INS2,Add like to post,insert,insert,Person,"['Person', 'Post']",['person_likes_post'],['person_likes_post x1'],1,1,1,0,1,1.0,shallow,high,0,1,0,0,associative,0.7155918282,1.0,0.3499822296,0.3499822296,0.593721962,1.0,high,0.0241865606339433,0.106448461162677,0.0041213724185213,0.0165119687347337,0.0174981645621359,0.106448461162677,low,Official INS2: add a likes edge from Person to Post.
INS3_AddLikeToComment,INS3,Add like to comment,insert,insert,Person,"['Person', 'Comment']",['person_likes_comment'],['person_likes_comment x1'],1,1,1,0,1,1.0,shallow,high,0,1,0,0,associative,0.6346256917,1.0,0.2400584449,0.2400584449,0.5031032761,1.0,high,0.0248386926535728,0.106448461162677,0.0097274057133495,0.0131411822178798,0.0198015970068317,0.106448461162677,low,Official INS3: add a likes edge from Person to Comment.
INS4_AddForum,INS4,Add forum,insert,insert,Forum,"['Forum', 'Person', 'Tag']","['forum_has_moderator_person', 'forum_has_tag']","['forum_has_moderator_person x1', 'forum_has_tag x1']",2,2,1,1,1,0.5,shallow,medium,2,0,0,0,association,0.6176684184,1.0,0.0241598547,0.0241598547,0.3802649929,1.0,high,0.0180438586135705,0.106448461162677,0.0074973482771136,0.0178798241328773,0.0138252544789878,0.106448461162677,low,Official INS4: add a Forum connected to a moderator and tags.
INS5_AddForumMembership,INS5,Add forum membership,insert,insert,Forum,"['Forum', 'Person']",['forum_has_member_person'],['forum_has_member_person x1'],1,1,1,0,1,1.0,shallow,high,0,1,0,0,associative,0.7824000278000001,1.0,1.0,1.0,0.8549333519000001,1.0,high,0.0229724950132083,0.106448461162677,0.061208397608628,0.0729360039081582,0.0357177958783482,0.106448461162677,low,Official INS5: add a hasMember edge between Forum and Person.
INS6_AddPost,INS6,Add post,insert,insert,Post,"['Post', 'Person', 'Forum', 'Place', 'Tag']","['post_has_creator_person', 'forum_container_of_post', 'post_is_located_in_place', 'post_has_tag']","['post_has_creator_person x1', 'forum_container_of_post x1', 'post_is_located_in_place x1', 'post_has_tag x1']",4,4,1,3,1,0.25,shallow,low,3,0,1,0,association,0.5123495632,1.0,0.2575524227,0.2575524227,0.3991063897,1.0,high,0.0875225118463908,1.0,0.2445780502882721,1.0,0.1573249733761158,1.0,high,"Official INS6: add a Post connected by creator, forum, location and tags."
INS7_AddComment,INS7,Add comment,insert,insert,Comment,"['Comment', 'Person', 'Post', 'Place', 'Tag']","['comment_has_creator_person', 'comment_reply_of_post', 'comment_reply_of_comment', 'comment_is_located_in_place', 'comment_has_tag']","['comment_has_creator_person x1', 'comment_reply_of_post x1', 'comment_reply_of_comment x1', 'comment_is_located_in_place x1', 'comment_has_tag x1']",5,5,1,4,1,0.2,shallow,low,3,0,2,0,association,0.4532398288,1.0,0.370959207,0.370959207,0.4120995179,1.0,high,0.0882689909025366,1.0,0.2187540737763282,0.9960918417195896,0.1535115323394324,1.0,high,"Official INS7: add a Comment connected by replyOf, creator, location and tags."
INS8_AddFriendship,INS8,Add friendship,insert,insert,Person,['Person'],['person_knows_person'],['person_knows_person x1'],1,1,1,0,1,1.0,shallow,high,1,0,0,0,association,1.0,1.0,0.0252497729,0.0252497729,0.5126248865,1.0,high,0.0459449900264166,0.106448461162677,0.0085826621382281,0.0161700048851978,0.0272638260823223,0.106448461162677,low,Official INS8: add a knows edge between two Persons.
