operation_name,query_id,operation_kind,frequency,step_order,conceptual_type,type_kind,access_volume,multiplier_from_previous,multiplier_status,relationship_name_for_multiplier,from_entity_for_multiplier,to_entity_for_multiplier,relationship_confidence_status,observed_cardinality
Q10b_CreateAccountAndBuyTransaction,Q10,insert,1.0,4,account_records_transaction,relationship,3.992015968063871,2.056132414927521,observed_source_to_target_avg,account_records_transaction,FinancialServiceAccount,Transaction,high_confidence_observed,observed_N_to_M
Q10b_CreateAccountAndBuyTransaction,Q10,insert,1.0,5,Transaction,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,account_records_transaction,,,high_confidence_observed,observed_N_to_M
Q10b_CreateAccountAndBuyTransaction,Q10,insert,1.0,6,buy_transaction_is_transaction,relationship,3.992015968063871,1.0,observed_target_to_source_avg,buy_transaction_is_transaction,Transaction,BuyTransaction,needs_review_medium_hint_confidence,observed_1_to_1
Q10b_CreateAccountAndBuyTransaction,Q10,insert,1.0,7,BuyTransaction,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,buy_transaction_is_transaction,,,needs_review_medium_hint_confidence,observed_1_to_1
Q1_CompanyProfileIBM,Q1,read,1.0,1,Corporation,entity,1.0,1.0,first_step_frequency,,,,,
Q2a_CompanyIndustry,Q2,read,1.0,1,Corporation,entity,1.0,1.0,first_step_frequency,,,,,
Q2a_CompanyIndustry,Q2,read,1.0,2,corporation_has_industry,relationship,1.0,1.0,observed_source_to_target_avg,corporation_has_industry,Corporation,Industry,high_confidence_observed,observed_N_to_M
Q2a_CompanyIndustry,Q2,read,1.0,3,Industry,entity,1.0,1.0,entity_inherits_previous_relationship_volume,corporation_has_industry,,,high_confidence_observed,observed_N_to_M
Q2b_CompanyCountry,Q2,read,1.0,1,Corporation,entity,1.0,1.0,first_step_frequency,,,,,
Q2b_CompanyCountry,Q2,read,1.0,2,corporation_has_country,relationship,1.0,1.0,observed_source_to_target_avg,corporation_has_country,Corporation,Country,high_confidence_observed,observed_N_to_M
Q2b_CompanyCountry,Q2,read,1.0,3,Country,entity,1.0,1.0,entity_inherits_previous_relationship_volume,corporation_has_country,,,high_confidence_observed,observed_N_to_M
Q2c_CompanyListedSecurities,Q2,read,1.0,1,Corporation,entity,1.0,1.0,first_step_frequency,,,,,
Q2c_CompanyListedSecurities,Q2,read,1.0,2,corporation_has_listed_security,relationship,1.0,1.0,missing_source_to_target_avg_fallback_1_0,corporation_has_listed_security,Corporation,ListedSecurity,needs_review_no_observed_match,no_observed_matches
Q2c_CompanyListedSecurities,Q2,read,1.0,3,ListedSecurity,entity,1.0,1.0,entity_inherits_previous_relationship_volume,corporation_has_listed_security,,,needs_review_no_observed_match,no_observed_matches
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,1,FinancialServiceAccount,entity,1.0,1.0,first_step_frequency,,,,,
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,2,account_has_holding,relationship,2.056132414927521,2.056132414927521,observed_source_to_target_avg,account_has_holding,FinancialServiceAccount,Holding,high_confidence_observed,observed_N_to_M
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,3,Holding,entity,2.056132414927521,1.0,entity_inherits_previous_relationship_volume,account_has_holding,,,high_confidence_observed,observed_N_to_M
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,4,holding_refers_to_listed_security,relationship,2.056132414927521,1.0,observed_source_to_target_avg,holding_refers_to_listed_security,Holding,ListedSecurity,high_confidence_observed,observed_N_to_M
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,5,ListedSecurity,entity,2.056132414927521,1.0,entity_inherits_previous_relationship_volume,holding_refers_to_listed_security,,,high_confidence_observed,observed_N_to_M
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,6,listed_security_represents_security,relationship,2.056132414927521,1.0,missing_source_to_target_avg_fallback_1_0,listed_security_represents_security,ListedSecurity,Security,needs_review_no_observed_match,no_observed_matches
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3,read,1.0,7,Security,entity,2.056132414927521,1.0,entity_inherits_previous_relationship_volume,listed_security_represents_security,,,needs_review_no_observed_match,no_observed_matches
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,1,Person,entity,1.0,1.0,first_step_frequency,,,,,
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,2,person_owns_financial_service_account,relationship,1.941516966067864,1.941516966067864,observed_source_to_target_avg,person_owns_financial_service_account,Person,FinancialServiceAccount,high_confidence_observed,observed_N_to_M
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,3,FinancialServiceAccount,entity,1.941516966067864,1.0,entity_inherits_previous_relationship_volume,person_owns_financial_service_account,,,high_confidence_observed,observed_N_to_M
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,4,account_has_holding,relationship,3.992015968063871,2.056132414927521,observed_source_to_target_avg,account_has_holding,FinancialServiceAccount,Holding,high_confidence_observed,observed_N_to_M
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,5,Holding,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,account_has_holding,,,high_confidence_observed,observed_N_to_M
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,6,holding_refers_to_listed_security,relationship,3.992015968063871,1.0,observed_source_to_target_avg,holding_refers_to_listed_security,Holding,ListedSecurity,high_confidence_observed,observed_N_to_M
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,7,ListedSecurity,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,holding_refers_to_listed_security,,,high_confidence_observed,observed_N_to_M
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,8,corporation_has_listed_security,relationship,3.992015968063871,1.0,missing_target_to_source_avg_fallback_1_0,corporation_has_listed_security,ListedSecurity,Corporation,needs_review_no_observed_match,no_observed_matches
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4,read,1.0,9,Corporation,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,corporation_has_listed_security,,,needs_review_no_observed_match,no_observed_matches
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,1,Corporation,entity,1.0,1.0,first_step_frequency,,,,,
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,2,corporation_has_financial_report,relationship,20.78356282271945,20.78356282271945,observed_source_to_target_avg,corporation_has_financial_report,Corporation,FinancialReport,high_confidence_observed,observed_N_to_M
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,3,FinancialReport,entity,20.78356282271945,1.0,entity_inherits_previous_relationship_volume,corporation_has_financial_report,,,high_confidence_observed,observed_N_to_M
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,4,financial_report_contains_report_element,relationship,86.05851979345955,4.140701020682801,observed_source_to_target_avg,financial_report_contains_report_element,FinancialReport,ReportElement,high_confidence_observed,observed_N_to_M
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,5,ReportElement,entity,86.05851979345955,1.0,entity_inherits_previous_relationship_volume,financial_report_contains_report_element,,,high_confidence_observed,observed_N_to_M
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,6,report_element_has_statement_element,relationship,86.05851979345955,1.0,missing_source_to_target_avg_fallback_1_0,report_element_has_statement_element,ReportElement,StatementElement,needs_review_no_observed_match,no_observed_matches
Q5a_ReportsAndStatementMetricDataOfCompany,Q5,read,1.0,7,StatementElement,entity,86.05851979345955,1.0,entity_inherits_previous_relationship_volume,report_element_has_statement_element,,,needs_review_no_observed_match,no_observed_matches
Q5b_ReportsAndDisclosuresOfCompany,Q5,read,1.0,1,Corporation,entity,1.0,1.0,first_step_frequency,,,,,
Q5b_ReportsAndDisclosuresOfCompany,Q5,read,1.0,2,corporation_has_financial_report,relationship,20.78356282271945,20.78356282271945,observed_source_to_target_avg,corporation_has_financial_report,Corporation,FinancialReport,high_confidence_observed,observed_N_to_M
Q5b_ReportsAndDisclosuresOfCompany,Q5,read,1.0,3,FinancialReport,entity,20.78356282271945,1.0,entity_inherits_previous_relationship_volume,corporation_has_financial_report,,,high_confidence_observed,observed_N_to_M
Q5b_ReportsAndDisclosuresOfCompany,Q5,read,1.0,4,financial_report_contains_disclosure,relationship,20.78356282271945,1.0,missing_source_to_target_avg_fallback_1_0,financial_report_contains_disclosure,FinancialReport,Disclosure,needs_review_no_observed_match,no_observed_matches
Q5b_ReportsAndDisclosuresOfCompany,Q5,read,1.0,5,Disclosure,entity,20.78356282271945,1.0,entity_inherits_previous_relationship_volume,financial_report_contains_disclosure,,,needs_review_no_observed_match,no_observed_matches
Q6a_TechIndustryFilter,Q6,read,1.0,1,Corporation,entity,1.0,1.0,first_step_frequency,,,,,
Q6a_TechIndustryFilter,Q6,read,1.0,2,corporation_has_industry,relationship,1.0,1.0,observed_source_to_target_avg,corporation_has_industry,Corporation,Industry,high_confidence_observed,observed_N_to_M
Q6a_TechIndustryFilter,Q6,read,1.0,3,Industry,entity,1.0,1.0,entity_inherits_previous_relationship_volume,corporation_has_industry,,,high_confidence_observed,observed_N_to_M
Q6b_USCountryFilter,Q6,read,1.0,1,Corporation,entity,1.0,1.0,first_step_frequency,,,,,
Q6b_USCountryFilter,Q6,read,1.0,2,corporation_has_country,relationship,1.0,1.0,observed_source_to_target_avg,corporation_has_country,Corporation,Country,high_confidence_observed,observed_N_to_M
Q6b_USCountryFilter,Q6,read,1.0,3,Country,entity,1.0,1.0,entity_inherits_previous_relationship_volume,corporation_has_country,,,high_confidence_observed,observed_N_to_M
Q6c_ListedSecurityHighValueFilter,Q6,read,1.0,1,Corporation,entity,1.0,1.0,first_step_frequency,,,,,
Q6c_ListedSecurityHighValueFilter,Q6,read,1.0,2,corporation_has_listed_security,relationship,1.0,1.0,missing_source_to_target_avg_fallback_1_0,corporation_has_listed_security,Corporation,ListedSecurity,needs_review_no_observed_match,no_observed_matches
Q6c_ListedSecurityHighValueFilter,Q6,read,1.0,3,ListedSecurity,entity,1.0,1.0,entity_inherits_previous_relationship_volume,corporation_has_listed_security,,,needs_review_no_observed_match,no_observed_matches
Q7a_PersonBoughtIBM,Q7,read,1.0,1,Person,entity,1.0,1.0,first_step_frequency,,,,,
Q7a_PersonBoughtIBM,Q7,read,1.0,2,person_owns_financial_service_account,relationship,1.941516966067864,1.941516966067864,observed_source_to_target_avg,person_owns_financial_service_account,Person,FinancialServiceAccount,high_confidence_observed,observed_N_to_M
Q7a_PersonBoughtIBM,Q7,read,1.0,3,FinancialServiceAccount,entity,1.941516966067864,1.0,entity_inherits_previous_relationship_volume,person_owns_financial_service_account,,,high_confidence_observed,observed_N_to_M
Q7a_PersonBoughtIBM,Q7,read,1.0,4,account_records_transaction,relationship,3.992015968063871,2.056132414927521,observed_source_to_target_avg,account_records_transaction,FinancialServiceAccount,Transaction,high_confidence_observed,observed_N_to_M
Q7a_PersonBoughtIBM,Q7,read,1.0,5,Transaction,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,account_records_transaction,,,high_confidence_observed,observed_N_to_M
Q7a_PersonBoughtIBM,Q7,read,1.0,6,buy_transaction_is_transaction,relationship,3.992015968063871,1.0,observed_target_to_source_avg,buy_transaction_is_transaction,Transaction,BuyTransaction,needs_review_medium_hint_confidence,observed_1_to_1
Q7a_PersonBoughtIBM,Q7,read,1.0,7,BuyTransaction,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,buy_transaction_is_transaction,,,needs_review_medium_hint_confidence,observed_1_to_1
Q7a_PersonBoughtIBM,Q7,read,1.0,8,transaction_refers_to_listed_security,relationship,3.992015968063871,1.0,observed_source_to_target_avg_via_supertype,transaction_refers_to_listed_security,BuyTransaction,ListedSecurity,high_confidence_observed,observed_N_to_M
Q7a_PersonBoughtIBM,Q7,read,1.0,9,ListedSecurity,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,transaction_refers_to_listed_security,,,high_confidence_observed,observed_N_to_M
Q7a_PersonBoughtIBM,Q7,read,1.0,10,corporation_has_listed_security,relationship,3.992015968063871,1.0,missing_target_to_source_avg_fallback_1_0,corporation_has_listed_security,ListedSecurity,Corporation,needs_review_no_observed_match,no_observed_matches
Q7a_PersonBoughtIBM,Q7,read,1.0,11,Corporation,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,corporation_has_listed_security,,,needs_review_no_observed_match,no_observed_matches
Q7b_PersonSoldIBM,Q7,read,1.0,1,Person,entity,1.0,1.0,first_step_frequency,,,,,
Q7b_PersonSoldIBM,Q7,read,1.0,2,person_owns_financial_service_account,relationship,1.941516966067864,1.941516966067864,observed_source_to_target_avg,person_owns_financial_service_account,Person,FinancialServiceAccount,high_confidence_observed,observed_N_to_M
Q7b_PersonSoldIBM,Q7,read,1.0,3,FinancialServiceAccount,entity,1.941516966067864,1.0,entity_inherits_previous_relationship_volume,person_owns_financial_service_account,,,high_confidence_observed,observed_N_to_M
Q7b_PersonSoldIBM,Q7,read,1.0,4,account_records_transaction,relationship,3.992015968063871,2.056132414927521,observed_source_to_target_avg,account_records_transaction,FinancialServiceAccount,Transaction,high_confidence_observed,observed_N_to_M
Q7b_PersonSoldIBM,Q7,read,1.0,5,Transaction,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,account_records_transaction,,,high_confidence_observed,observed_N_to_M
Q7b_PersonSoldIBM,Q7,read,1.0,6,sell_transaction_is_transaction,relationship,3.992015968063871,1.0,observed_target_to_source_avg,sell_transaction_is_transaction,Transaction,SellTransaction,needs_review_medium_hint_confidence,observed_1_to_1
Q7b_PersonSoldIBM,Q7,read,1.0,7,SellTransaction,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,sell_transaction_is_transaction,,,needs_review_medium_hint_confidence,observed_1_to_1
Q7b_PersonSoldIBM,Q7,read,1.0,8,transaction_refers_to_listed_security,relationship,3.992015968063871,1.0,observed_source_to_target_avg_via_supertype,transaction_refers_to_listed_security,SellTransaction,ListedSecurity,high_confidence_observed,observed_N_to_M
Q7b_PersonSoldIBM,Q7,read,1.0,9,ListedSecurity,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,transaction_refers_to_listed_security,,,high_confidence_observed,observed_N_to_M
Q7b_PersonSoldIBM,Q7,read,1.0,10,corporation_has_listed_security,relationship,3.992015968063871,1.0,missing_target_to_source_avg_fallback_1_0,corporation_has_listed_security,ListedSecurity,Corporation,needs_review_no_observed_match,no_observed_matches
Q7b_PersonSoldIBM,Q7,read,1.0,11,Corporation,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,corporation_has_listed_security,,,needs_review_no_observed_match,no_observed_matches
Q8_IBMTransactionsBelowAverageSellingPrice,Q8,read,1.0,1,Corporation,entity,1.0,1.0,first_step_frequency,,,,,
Q8_IBMTransactionsBelowAverageSellingPrice,Q8,read,1.0,2,corporation_has_listed_security,relationship,1.0,1.0,missing_source_to_target_avg_fallback_1_0,corporation_has_listed_security,Corporation,ListedSecurity,needs_review_no_observed_match,no_observed_matches
Q8_IBMTransactionsBelowAverageSellingPrice,Q8,read,1.0,3,ListedSecurity,entity,1.0,1.0,entity_inherits_previous_relationship_volume,corporation_has_listed_security,,,needs_review_no_observed_match,no_observed_matches
Q8_IBMTransactionsBelowAverageSellingPrice,Q8,read,1.0,4,transaction_refers_to_listed_security,relationship,72.85974499089254,72.85974499089254,observed_target_to_source_avg,transaction_refers_to_listed_security,ListedSecurity,Transaction,high_confidence_observed,observed_N_to_M
Q8_IBMTransactionsBelowAverageSellingPrice,Q8,read,1.0,5,Transaction,entity,72.85974499089254,1.0,entity_inherits_previous_relationship_volume,transaction_refers_to_listed_security,,,high_confidence_observed,observed_N_to_M
Q8_IBMTransactionsBelowAverageSellingPrice,Q8,read,1.0,6,sell_transaction_is_transaction,relationship,72.85974499089254,1.0,observed_target_to_source_avg,sell_transaction_is_transaction,Transaction,SellTransaction,needs_review_medium_hint_confidence,observed_1_to_1
Q8_IBMTransactionsBelowAverageSellingPrice,Q8,read,1.0,7,SellTransaction,entity,72.85974499089254,1.0,entity_inherits_previous_relationship_volume,sell_transaction_is_transaction,,,needs_review_medium_hint_confidence,observed_1_to_1
Q9a_PersonBoughtStock,Q9,read,1.0,1,Person,entity,1.0,1.0,first_step_frequency,,,,,
Q9a_PersonBoughtStock,Q9,read,1.0,2,person_owns_financial_service_account,relationship,1.941516966067864,1.941516966067864,observed_source_to_target_avg,person_owns_financial_service_account,Person,FinancialServiceAccount,high_confidence_observed,observed_N_to_M
Q9a_PersonBoughtStock,Q9,read,1.0,3,FinancialServiceAccount,entity,1.941516966067864,1.0,entity_inherits_previous_relationship_volume,person_owns_financial_service_account,,,high_confidence_observed,observed_N_to_M
Q9a_PersonBoughtStock,Q9,read,1.0,4,account_records_transaction,relationship,3.992015968063871,2.056132414927521,observed_source_to_target_avg,account_records_transaction,FinancialServiceAccount,Transaction,high_confidence_observed,observed_N_to_M
Q9a_PersonBoughtStock,Q9,read,1.0,5,Transaction,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,account_records_transaction,,,high_confidence_observed,observed_N_to_M
Q9a_PersonBoughtStock,Q9,read,1.0,6,buy_transaction_is_transaction,relationship,3.992015968063871,1.0,observed_target_to_source_avg,buy_transaction_is_transaction,Transaction,BuyTransaction,needs_review_medium_hint_confidence,observed_1_to_1
Q9a_PersonBoughtStock,Q9,read,1.0,7,BuyTransaction,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,buy_transaction_is_transaction,,,needs_review_medium_hint_confidence,observed_1_to_1
Q9a_PersonBoughtStock,Q9,read,1.0,8,transaction_refers_to_listed_security,relationship,3.992015968063871,1.0,observed_source_to_target_avg_via_supertype,transaction_refers_to_listed_security,BuyTransaction,ListedSecurity,high_confidence_observed,observed_N_to_M
Q9a_PersonBoughtStock,Q9,read,1.0,9,ListedSecurity,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,transaction_refers_to_listed_security,,,high_confidence_observed,observed_N_to_M
Q9b_PersonSoldStock,Q9,read,1.0,1,Person,entity,1.0,1.0,first_step_frequency,,,,,
Q9b_PersonSoldStock,Q9,read,1.0,2,person_owns_financial_service_account,relationship,1.941516966067864,1.941516966067864,observed_source_to_target_avg,person_owns_financial_service_account,Person,FinancialServiceAccount,high_confidence_observed,observed_N_to_M
Q9b_PersonSoldStock,Q9,read,1.0,3,FinancialServiceAccount,entity,1.941516966067864,1.0,entity_inherits_previous_relationship_volume,person_owns_financial_service_account,,,high_confidence_observed,observed_N_to_M
Q9b_PersonSoldStock,Q9,read,1.0,4,account_records_transaction,relationship,3.992015968063871,2.056132414927521,observed_source_to_target_avg,account_records_transaction,FinancialServiceAccount,Transaction,high_confidence_observed,observed_N_to_M
Q9b_PersonSoldStock,Q9,read,1.0,5,Transaction,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,account_records_transaction,,,high_confidence_observed,observed_N_to_M
Q9b_PersonSoldStock,Q9,read,1.0,6,sell_transaction_is_transaction,relationship,3.992015968063871,1.0,observed_target_to_source_avg,sell_transaction_is_transaction,Transaction,SellTransaction,needs_review_medium_hint_confidence,observed_1_to_1
Q9b_PersonSoldStock,Q9,read,1.0,7,SellTransaction,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,sell_transaction_is_transaction,,,needs_review_medium_hint_confidence,observed_1_to_1
Q9b_PersonSoldStock,Q9,read,1.0,8,transaction_refers_to_listed_security,relationship,3.992015968063871,1.0,observed_source_to_target_avg_via_supertype,transaction_refers_to_listed_security,SellTransaction,ListedSecurity,high_confidence_observed,observed_N_to_M
Q9b_PersonSoldStock,Q9,read,1.0,9,ListedSecurity,entity,3.992015968063871,1.0,entity_inherits_previous_relationship_volume,transaction_refers_to_listed_security,,,high_confidence_observed,observed_N_to_M
