query_name,sequence_id,frequency,step_count,join_steps,document_count,plan_signature,filters_json,structural_cost,plan_utility,total_document_structural_cost,filter_count,required_secondary_indexes,origin,steps_json
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,2,1,2,FinancialServiceAccount -> Holding|{ListedSecurity},{},28.5,0.033898305085,3.5,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]"
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,2,1,2,FinancialServiceAccount|{Holding} -> ListedSecurity,{},28.5,0.033898305085,3.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q3_SecuritiesHeldInEachFinancialServiceAccount,Q3_S1,1.0,3,2,3,FinancialServiceAccount -> Holding -> ListedSecurity,{},43.0,0.022727272727,3.0,0,[],initial_single_level_documents,"[{""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,2,1,2,Person|{FinancialServiceAccount|{Holding}} -> ListedSecurity|{Security|{Corporation}},{},32.5,0.029850746269,7.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,2,3,Person -> FinancialServiceAccount|{Holding|{ListedSecurity}} -> Security|{Corporation},{},47.25,0.020725388601,7.25,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,2,3,Person -> FinancialServiceAccount|{Holding} -> ListedSecurity|{Security|{Corporation}},{},47.25,0.020725388601,7.25,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_2+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,2,3,Person|{FinancialServiceAccount|{Holding}} -> ListedSecurity -> Security|{Corporation},{},47.25,0.020725388601,7.25,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,2,3,Person|{FinancialServiceAccount|{Holding}} -> ListedSecurity|{Security} -> Corporation,{},47.25,0.020725388601,7.25,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,2,3,Person|{FinancialServiceAccount} -> Holding -> ListedSecurity|{Security|{Corporation}},{},47.25,0.020725388601,7.25,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_2+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,2,3,Person|{FinancialServiceAccount} -> Holding|{ListedSecurity|{Security}} -> Corporation,{},47.25,0.020725388601,7.25,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,2,3,Person|{FinancialServiceAccount} -> Holding|{ListedSecurity} -> Security|{Corporation},{},47.5,0.020618556701,7.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,3,4,Person -> FinancialServiceAccount -> Holding -> ListedSecurity|{Security|{Corporation}},{},61.75,0.01593625498,6.75,0,[],initial_single_level_documents+merge_step_3+inner_compaction_simplified+merge_step_3+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,3,4,Person -> FinancialServiceAccount -> Holding|{ListedSecurity|{Security}} -> Corporation,{},61.75,0.01593625498,6.75,0,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,3,4,Person -> FinancialServiceAccount -> Holding|{ListedSecurity} -> Security|{Corporation},{},62.0,0.015873015873,7.0,0,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified+merge_step_3+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,3,4,Person -> FinancialServiceAccount|{Holding|{ListedSecurity}} -> Security -> Corporation,{},61.75,0.01593625498,6.75,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,3,4,Person -> FinancialServiceAccount|{Holding} -> ListedSecurity -> Security|{Corporation},{},62.0,0.015873015873,7.0,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_3+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,3,4,Person -> FinancialServiceAccount|{Holding} -> ListedSecurity|{Security} -> Corporation,{},62.0,0.015873015873,7.0,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,3,4,Person|{FinancialServiceAccount|{Holding}} -> ListedSecurity -> Security -> Corporation,{},61.75,0.01593625498,6.75,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,3,4,Person|{FinancialServiceAccount} -> Holding -> ListedSecurity -> Security|{Corporation},{},62.0,0.015873015873,7.0,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_3+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,3,4,Person|{FinancialServiceAccount} -> Holding -> ListedSecurity|{Security} -> Corporation,{},62.0,0.015873015873,7.0,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,3,4,Person|{FinancialServiceAccount} -> Holding|{ListedSecurity} -> Security -> Corporation,{},62.0,0.015873015873,7.0,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,5,4,5,Person -> FinancialServiceAccount -> Holding -> ListedSecurity -> Security|{Corporation},{},76.5,0.012903225806,6.5,0,[],initial_single_level_documents+merge_step_4+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,5,4,5,Person -> FinancialServiceAccount -> Holding -> ListedSecurity|{Security} -> Corporation,{},76.5,0.012903225806,6.5,0,[],initial_single_level_documents+merge_step_3+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,5,4,5,Person -> FinancialServiceAccount -> Holding|{ListedSecurity} -> Security -> Corporation,{},76.5,0.012903225806,6.5,0,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,5,4,5,Person -> FinancialServiceAccount|{Holding} -> ListedSecurity -> Security -> Corporation,{},76.5,0.012903225806,6.5,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,5,4,5,Person|{FinancialServiceAccount} -> Holding -> ListedSecurity -> Security -> Corporation,{},76.5,0.012903225806,6.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,6,5,6,Person -> FinancialServiceAccount -> Holding -> ListedSecurity -> Security -> Corporation,{},91.0,0.010869565217,6.0,0,[],initial_single_level_documents,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,2,1,2,Corporation -> FinancialReport|{ReportElement|{StatementElement}},{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": [{""entity"": ""StatementElement"", ""children"": []}]}]}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,2,1,2,Corporation|{FinancialReport|{ReportElement}} -> StatementElement,{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": []}]}]}, {""entity"": ""StatementElement"", ""children"": []}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,2,1,2,Corporation|{FinancialReport} -> ReportElement|{StatementElement},{},30.0,0.032258064516,5.0,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""FinancialReport"", ""children"": []}]}, {""entity"": ""ReportElement"", ""children"": [{""entity"": ""StatementElement"", ""children"": []}]}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,3,2,3,Corporation -> FinancialReport -> ReportElement|{StatementElement},{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": []}, {""entity"": ""ReportElement"", ""children"": [{""entity"": ""StatementElement"", ""children"": []}]}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,3,2,3,Corporation -> FinancialReport|{ReportElement} -> StatementElement,{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": []}]}, {""entity"": ""StatementElement"", ""children"": []}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,3,2,3,Corporation|{FinancialReport} -> ReportElement -> StatementElement,{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""FinancialReport"", ""children"": []}]}, {""entity"": ""ReportElement"", ""children"": []}, {""entity"": ""StatementElement"", ""children"": []}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,4,3,4,Corporation -> FinancialReport -> ReportElement -> StatementElement,{},59.0,0.016666666667,4.0,0,[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": []}, {""entity"": ""ReportElement"", ""children"": []}, {""entity"": ""StatementElement"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,2,1,2,ListedSecurity -> Security|{Corporation|{Industry}},{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,2,1,2,ListedSecurity|{Security|{Corporation}} -> Industry,{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}, {""entity"": ""Industry"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,2,1,2,ListedSecurity|{Security} -> Corporation|{Industry},{},30.0,0.032258064516,5.0,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,3,2,3,ListedSecurity -> Security -> Corporation|{Industry},{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,3,2,3,ListedSecurity -> Security|{Corporation} -> Industry,{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}, {""entity"": ""Industry"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,3,2,3,ListedSecurity|{Security} -> Corporation -> Industry,{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Industry"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,4,3,4,ListedSecurity -> Security -> Corporation -> Industry,{},59.0,0.016666666667,4.0,0,[],initial_single_level_documents,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Industry"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,2,1,2,ListedSecurity -> Security|{Corporation|{Country}},{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,2,1,2,ListedSecurity|{Security|{Corporation}} -> Country,{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}, {""entity"": ""Country"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,2,1,2,ListedSecurity|{Security} -> Corporation|{Country},{},30.0,0.032258064516,5.0,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,3,2,3,ListedSecurity -> Security -> Corporation|{Country},{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,3,2,3,ListedSecurity -> Security|{Corporation} -> Country,{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}, {""entity"": ""Country"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,3,2,3,ListedSecurity|{Security} -> Corporation -> Country,{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Country"", ""children"": []}]"
