document_id,signature,root_entity,height_edges,max_width,entities_json,tree_json
D15,FinancialServiceAccount|{Transaction|{ListedSecurity}},FinancialServiceAccount,2,1,"[""FinancialServiceAccount"", ""Transaction"", ""ListedSecurity""]","{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}"
D16,FinancialServiceAccount|{Transaction},FinancialServiceAccount,1,1,"[""FinancialServiceAccount"", ""Transaction""]","{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}"
D17,Holding,Holding,0,0,"[""Holding""]","{""entity"": ""Holding"", ""children"": []}"
D18,Holding|{ListedSecurity|{Security}},Holding,2,1,"[""Holding"", ""ListedSecurity"", ""Security""]","{""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}]}"
D19,Holding|{ListedSecurity},Holding,1,1,"[""Holding"", ""ListedSecurity""]","{""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}"
D20,Industry,Industry,0,0,"[""Industry""]","{""entity"": ""Industry"", ""children"": []}"
D21,ListedSecurity,ListedSecurity,0,0,"[""ListedSecurity""]","{""entity"": ""ListedSecurity"", ""children"": []}"
D22,ListedSecurity|{Security|{Corporation}},ListedSecurity,2,1,"[""ListedSecurity"", ""Security"", ""Corporation""]","{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}"
D23,ListedSecurity|{Security},ListedSecurity,1,1,"[""ListedSecurity"", ""Security""]","{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}"
D24,Person,Person,0,0,"[""Person""]","{""entity"": ""Person"", ""children"": []}"
D25,Person|{FinancialServiceAccount|{Holding}},Person,2,1,"[""Person"", ""FinancialServiceAccount"", ""Holding""]","{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}"
D26,Person|{FinancialServiceAccount|{Transaction}},Person,2,1,"[""Person"", ""FinancialServiceAccount"", ""Transaction""]","{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}]}"
D27,Person|{FinancialServiceAccount},Person,1,1,"[""Person"", ""FinancialServiceAccount""]","{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}"
D28,ReportElement,ReportElement,0,0,"[""ReportElement""]","{""entity"": ""ReportElement"", ""children"": []}"
D29,ReportElement|{StatementElement},ReportElement,1,1,"[""ReportElement"", ""StatementElement""]","{""entity"": ""ReportElement"", ""children"": [{""entity"": ""StatementElement"", ""children"": []}]}"
D30,Security,Security,0,0,"[""Security""]","{""entity"": ""Security"", ""children"": []}"
D31,Security|{Corporation|{Country}},Security,2,1,"[""Security"", ""Corporation"", ""Country""]","{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]}"
D32,Security|{Corporation|{Industry}},Security,2,1,"[""Security"", ""Corporation"", ""Industry""]","{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]}"
D33,Security|{Corporation},Security,1,1,"[""Security"", ""Corporation""]","{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}"
D34,Security|{ListedSecurity},Security,1,1,"[""Security"", ""ListedSecurity""]","{""entity"": ""Security"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}"
D35,StatementElement,StatementElement,0,0,"[""StatementElement""]","{""entity"": ""StatementElement"", ""children"": []}"
D36,Transaction,Transaction,0,0,"[""Transaction""]","{""entity"": ""Transaction"", ""children"": []}"
D37,Transaction|{ListedSecurity},Transaction,1,1,"[""Transaction"", ""ListedSecurity""]","{""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}"
