query_name,sequence_id,frequency,step_count,join_steps,document_count,plan_signature,filters_json,structural_cost,plan_utility,total_document_structural_cost,filter_count,required_secondary_indexes,origin,steps_json,structural_rank_within_sequence,best_structural_cost_for_sequence,cost_ratio_to_best_sequence_plan,is_best_structural_plan,is_pruned_candidate
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,2,3,Person|{FinancialServiceAccount|{Holding}} -> ListedSecurity|{Security} -> Corporation,{},47.25,0.020725388601,7.25,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}]",5,32.5,1.453846,no,yes
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,2,1,2,Corporation -> FinancialReport|{ReportElement|{StatementElement}},{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": [{""entity"": ""StatementElement"", ""children"": []}]}]}]",1,29.75,1.0,yes,yes
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,2,1,2,Corporation|{FinancialReport|{ReportElement}} -> StatementElement,{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": []}]}]}, {""entity"": ""StatementElement"", ""children"": []}]",2,29.75,1.0,no,yes
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,2,1,2,Corporation|{FinancialReport} -> ReportElement|{StatementElement},{},30.0,0.032258064516,5.0,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""FinancialReport"", ""children"": []}]}, {""entity"": ""ReportElement"", ""children"": [{""entity"": ""StatementElement"", ""children"": []}]}]",3,29.75,1.008403,no,yes
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,3,2,3,Corporation -> FinancialReport -> ReportElement|{StatementElement},{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": []}, {""entity"": ""ReportElement"", ""children"": [{""entity"": ""StatementElement"", ""children"": []}]}]",4,29.75,1.495798,no,yes
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,3,2,3,Corporation -> FinancialReport|{ReportElement} -> StatementElement,{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": []}]}, {""entity"": ""StatementElement"", ""children"": []}]",5,29.75,1.495798,no,yes
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,2,1,2,ListedSecurity -> Security|{Corporation|{Industry}},{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]}]",1,29.75,1.0,yes,yes
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,2,1,2,ListedSecurity|{Security|{Corporation}} -> Industry,{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}, {""entity"": ""Industry"", ""children"": []}]",2,29.75,1.0,no,yes
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,2,1,2,ListedSecurity|{Security} -> Corporation|{Industry},{},30.0,0.032258064516,5.0,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]",3,29.75,1.008403,no,yes
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,3,2,3,ListedSecurity -> Security -> Corporation|{Industry},{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]",4,29.75,1.495798,no,yes
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,3,2,3,ListedSecurity -> Security|{Corporation} -> Industry,{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}, {""entity"": ""Industry"", ""children"": []}]",5,29.75,1.495798,no,yes
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,2,1,2,ListedSecurity -> Security|{Corporation|{Country}},{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]}]",1,29.75,1.0,yes,yes
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,2,1,2,ListedSecurity|{Security|{Corporation}} -> Country,{},29.75,0.032520325203,4.75,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}, {""entity"": ""Country"", ""children"": []}]",2,29.75,1.0,no,yes
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,2,1,2,ListedSecurity|{Security} -> Corporation|{Country},{},30.0,0.032258064516,5.0,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]",3,29.75,1.008403,no,yes
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,3,2,3,ListedSecurity -> Security -> Corporation|{Country},{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]",4,29.75,1.495798,no,yes
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,3,2,3,ListedSecurity -> Security|{Corporation} -> Country,{},44.5,0.021978021978,4.5,0,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}, {""entity"": ""Country"", ""children"": []}]",5,29.75,1.495798,no,yes
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S1,1.0,2,1,2,Person -> FinancialServiceAccount|{Transaction|{ListedSecurity}},"{""transaction_subtype"": ""buy""}",30.0,0.032258064516,4.75,1,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}]",1,30.0,1.0,yes,yes
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S1,1.0,2,1,2,Person|{FinancialServiceAccount|{Transaction}} -> ListedSecurity,"{""transaction_subtype"": ""buy""}",30.0,0.032258064516,4.75,1,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": []}]",2,30.0,1.0,no,yes
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S1,1.0,2,1,2,Person|{FinancialServiceAccount} -> Transaction|{ListedSecurity},"{""transaction_subtype"": ""buy""}",30.25,0.032,5.0,1,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",3,30.0,1.008333,no,yes
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S1,1.0,3,2,3,Person -> FinancialServiceAccount -> Transaction|{ListedSecurity},"{""transaction_subtype"": ""buy""}",44.75,0.021857923497,4.5,1,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",4,30.0,1.491667,no,yes
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S1,1.0,3,2,3,Person -> FinancialServiceAccount|{Transaction} -> ListedSecurity,"{""transaction_subtype"": ""buy""}",44.75,0.021857923497,4.5,1,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}]",5,30.0,1.491667,no,yes
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S2,1.0,2,1,2,Person -> FinancialServiceAccount|{Transaction|{ListedSecurity}},"{""transaction_subtype"": ""sell""}",30.0,0.032258064516,4.75,1,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}]",1,30.0,1.0,yes,yes
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S2,1.0,2,1,2,Person|{FinancialServiceAccount|{Transaction}} -> ListedSecurity,"{""transaction_subtype"": ""sell""}",30.0,0.032258064516,4.75,1,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": []}]",2,30.0,1.0,no,yes
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S2,1.0,2,1,2,Person|{FinancialServiceAccount} -> Transaction|{ListedSecurity},"{""transaction_subtype"": ""sell""}",30.25,0.032,5.0,1,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",3,30.0,1.008333,no,yes
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S2,1.0,3,2,3,Person -> FinancialServiceAccount -> Transaction|{ListedSecurity},"{""transaction_subtype"": ""sell""}",44.75,0.021857923497,4.5,1,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",4,30.0,1.491667,no,yes
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S2,1.0,3,2,3,Person -> FinancialServiceAccount|{Transaction} -> ListedSecurity,"{""transaction_subtype"": ""sell""}",44.75,0.021857923497,4.5,1,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}]",5,30.0,1.491667,no,yes
Q8_IBMTransactionsBelowAverageSellingPrice,Q8_S1,1.0,1,0,1,Transaction|{ListedSecurity},{},12.5,0.074074074074,2.5,0,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",1,12.5,1.0,yes,yes
Q8_IBMTransactionsBelowAverageSellingPrice,Q8_S1,1.0,2,1,2,Transaction -> ListedSecurity,{},27.0,0.035714285714,2.0,0,[],initial_single_level_documents,"[{""entity"": ""Transaction"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]",2,12.5,2.16,no,yes
Q8_IBMTransactionsBelowAverageSellingPrice,Q8_S2,1.0,1,0,1,Transaction|{ListedSecurity},"{""transaction_subtype"": ""sell""}",12.75,0.072727272727,2.5,1,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",1,12.75,1.0,yes,yes
Q8_IBMTransactionsBelowAverageSellingPrice,Q8_S2,1.0,2,1,2,Transaction -> ListedSecurity,"{""transaction_subtype"": ""sell""}",27.25,0.035398230088,2.0,1,[],initial_single_level_documents,"[{""entity"": ""Transaction"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}]",2,12.75,2.137255,no,yes
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S1,1.0,2,1,2,Person -> FinancialServiceAccount|{Transaction|{ListedSecurity}},"{""transaction_subtype"": ""buy""}",30.0,0.032258064516,4.75,1,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}]",1,30.0,1.0,yes,yes
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S1,1.0,2,1,2,Person|{FinancialServiceAccount|{Transaction}} -> ListedSecurity,"{""transaction_subtype"": ""buy""}",30.0,0.032258064516,4.75,1,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": []}]",2,30.0,1.0,no,yes
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S1,1.0,2,1,2,Person|{FinancialServiceAccount} -> Transaction|{ListedSecurity},"{""transaction_subtype"": ""buy""}",30.25,0.032,5.0,1,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",3,30.0,1.008333,no,yes
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S1,1.0,3,2,3,Person -> FinancialServiceAccount -> Transaction|{ListedSecurity},"{""transaction_subtype"": ""buy""}",44.75,0.021857923497,4.5,1,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",4,30.0,1.491667,no,yes
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S1,1.0,3,2,3,Person -> FinancialServiceAccount|{Transaction} -> ListedSecurity,"{""transaction_subtype"": ""buy""}",44.75,0.021857923497,4.5,1,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}]",5,30.0,1.491667,no,yes
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S2,1.0,2,1,2,Person -> FinancialServiceAccount|{Transaction|{ListedSecurity}},"{""transaction_subtype"": ""sell""}",30.0,0.032258064516,4.75,1,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}]",1,30.0,1.0,yes,yes
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S2,1.0,2,1,2,Person|{FinancialServiceAccount|{Transaction}} -> ListedSecurity,"{""transaction_subtype"": ""sell""}",30.0,0.032258064516,4.75,1,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": []}]",2,30.0,1.0,no,yes
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S2,1.0,2,1,2,Person|{FinancialServiceAccount} -> Transaction|{ListedSecurity},"{""transaction_subtype"": ""sell""}",30.25,0.032,5.0,1,[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",3,30.0,1.008333,no,yes
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S2,1.0,3,2,3,Person -> FinancialServiceAccount -> Transaction|{ListedSecurity},"{""transaction_subtype"": ""sell""}",44.75,0.021857923497,4.5,1,[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]",4,30.0,1.491667,no,yes
Q9_PersonsWhoBoughtAndSoldSameStock,Q9_S2,1.0,3,2,3,Person -> FinancialServiceAccount|{Transaction} -> ListedSecurity,"{""transaction_subtype"": ""sell""}",44.75,0.021857923497,4.5,1,[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}]",5,30.0,1.491667,no,yes
