query_name,sequence_id,frequency,step_count,plan_signature,filters_json,required_secondary_indexes,origin,steps_json
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,Person -> FinancialServiceAccount|{Holding} -> ListedSecurity|{Security|{Corporation}},{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_2+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,Person|{FinancialServiceAccount|{Holding}} -> ListedSecurity -> Security|{Corporation},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,Person|{FinancialServiceAccount|{Holding}} -> ListedSecurity|{Security} -> Corporation,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,Person|{FinancialServiceAccount} -> Holding -> ListedSecurity|{Security|{Corporation}},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_2+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,Person|{FinancialServiceAccount} -> Holding|{ListedSecurity|{Security}} -> Corporation,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,3,Person|{FinancialServiceAccount} -> Holding|{ListedSecurity} -> Security|{Corporation},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,Person -> FinancialServiceAccount -> Holding -> ListedSecurity|{Security|{Corporation}},{},[],initial_single_level_documents+merge_step_3+inner_compaction_simplified+merge_step_3+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,Person -> FinancialServiceAccount -> Holding|{ListedSecurity|{Security}} -> Corporation,{},[],initial_single_level_documents+merge_step_2+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,Person -> FinancialServiceAccount -> Holding|{ListedSecurity} -> Security|{Corporation},{},[],initial_single_level_documents+merge_step_2+inner_compaction_simplified+merge_step_3+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,Person -> FinancialServiceAccount|{Holding|{ListedSecurity}} -> Security -> Corporation,{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,Person -> FinancialServiceAccount|{Holding} -> ListedSecurity -> Security|{Corporation},{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_3+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,Person -> FinancialServiceAccount|{Holding} -> ListedSecurity|{Security} -> Corporation,{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,Person|{FinancialServiceAccount|{Holding}} -> ListedSecurity -> Security -> Corporation,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,Person|{FinancialServiceAccount} -> Holding -> ListedSecurity -> Security|{Corporation},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_3+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,Person|{FinancialServiceAccount} -> Holding -> ListedSecurity|{Security} -> Corporation,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,4,Person|{FinancialServiceAccount} -> Holding|{ListedSecurity} -> Security -> Corporation,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,5,Person -> FinancialServiceAccount -> Holding -> ListedSecurity -> Security|{Corporation},{},[],initial_single_level_documents+merge_step_4+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,5,Person -> FinancialServiceAccount -> Holding -> ListedSecurity|{Security} -> Corporation,{},[],initial_single_level_documents+merge_step_3+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,5,Person -> FinancialServiceAccount -> Holding|{ListedSecurity} -> Security -> Corporation,{},[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,5,Person -> FinancialServiceAccount|{Holding} -> ListedSecurity -> Security -> Corporation,{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Holding"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,5,Person|{FinancialServiceAccount} -> Holding -> ListedSecurity -> Security -> Corporation,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Q4_S1,1.0,6,Person -> FinancialServiceAccount -> Holding -> ListedSecurity -> Security -> Corporation,{},[],initial_single_level_documents,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Holding"", ""children"": []}, {""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,2,Corporation -> FinancialReport|{ReportElement|{StatementElement}},{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": [{""entity"": ""StatementElement"", ""children"": []}]}]}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,2,Corporation|{FinancialReport|{ReportElement}} -> StatementElement,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": []}]}]}, {""entity"": ""StatementElement"", ""children"": []}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,2,Corporation|{FinancialReport} -> ReportElement|{StatementElement},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""FinancialReport"", ""children"": []}]}, {""entity"": ""ReportElement"", ""children"": [{""entity"": ""StatementElement"", ""children"": []}]}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,3,Corporation -> FinancialReport -> ReportElement|{StatementElement},{},[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": []}, {""entity"": ""ReportElement"", ""children"": [{""entity"": ""StatementElement"", ""children"": []}]}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,3,Corporation -> FinancialReport|{ReportElement} -> StatementElement,{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": [{""entity"": ""ReportElement"", ""children"": []}]}, {""entity"": ""StatementElement"", ""children"": []}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,3,Corporation|{FinancialReport} -> ReportElement -> StatementElement,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Corporation"", ""children"": [{""entity"": ""FinancialReport"", ""children"": []}]}, {""entity"": ""ReportElement"", ""children"": []}, {""entity"": ""StatementElement"", ""children"": []}]"
Q5_ReportsAndMetricDataOfCompany,Q5_S1,1.0,4,Corporation -> FinancialReport -> ReportElement -> StatementElement,{},[],initial_single_level_documents,"[{""entity"": ""Corporation"", ""children"": []}, {""entity"": ""FinancialReport"", ""children"": []}, {""entity"": ""ReportElement"", ""children"": []}, {""entity"": ""StatementElement"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,2,ListedSecurity -> Security|{Corporation|{Industry}},{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,2,ListedSecurity|{Security|{Corporation}} -> Industry,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}, {""entity"": ""Industry"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,2,ListedSecurity|{Security} -> Corporation|{Industry},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,3,ListedSecurity -> Security -> Corporation|{Industry},{},[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Industry"", ""children"": []}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,3,ListedSecurity -> Security|{Corporation} -> Industry,{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}, {""entity"": ""Industry"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,3,ListedSecurity|{Security} -> Corporation -> Industry,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Industry"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S1,1.0,4,ListedSecurity -> Security -> Corporation -> Industry,{},[],initial_single_level_documents,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Industry"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,2,ListedSecurity -> Security|{Corporation|{Country}},{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,2,ListedSecurity|{Security|{Corporation}} -> Country,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}]}, {""entity"": ""Country"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,2,ListedSecurity|{Security} -> Corporation|{Country},{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,3,ListedSecurity -> Security -> Corporation|{Country},{},[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": [{""entity"": ""Country"", ""children"": []}]}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,3,ListedSecurity -> Security|{Corporation} -> Country,{},[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": [{""entity"": ""Corporation"", ""children"": []}]}, {""entity"": ""Country"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,3,ListedSecurity|{Security} -> Corporation -> Country,{},[],initial_single_level_documents+merge_step_0+inner_compaction_simplified,"[{""entity"": ""ListedSecurity"", ""children"": [{""entity"": ""Security"", ""children"": []}]}, {""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Country"", ""children"": []}]"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,Q6_S2,1.0,4,ListedSecurity -> Security -> Corporation -> Country,{},[],initial_single_level_documents,"[{""entity"": ""ListedSecurity"", ""children"": []}, {""entity"": ""Security"", ""children"": []}, {""entity"": ""Corporation"", ""children"": []}, {""entity"": ""Country"", ""children"": []}]"
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S1,1.0,2,Person -> FinancialServiceAccount|{Transaction|{ListedSecurity}},"{""transaction_subtype"": ""buy""}",[],initial_single_level_documents+merge_step_1+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]}]"
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S1,1.0,2,Person|{FinancialServiceAccount|{Transaction}} -> ListedSecurity,"{""transaction_subtype"": ""buy""}",[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_0+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}]}, {""entity"": ""ListedSecurity"", ""children"": []}]"
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S1,1.0,2,Person|{FinancialServiceAccount} -> Transaction|{ListedSecurity},"{""transaction_subtype"": ""buy""}",[],initial_single_level_documents+merge_step_0+inner_compaction_simplified+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": [{""entity"": ""FinancialServiceAccount"", ""children"": []}]}, {""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]"
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S1,1.0,3,Person -> FinancialServiceAccount -> Transaction|{ListedSecurity},"{""transaction_subtype"": ""buy""}",[],initial_single_level_documents+merge_step_2+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": []}, {""entity"": ""Transaction"", ""children"": [{""entity"": ""ListedSecurity"", ""children"": []}]}]"
Q7_PersonsWhoBoughtMoreIBMThanSold,Q7_S1,1.0,3,Person -> FinancialServiceAccount|{Transaction} -> ListedSecurity,"{""transaction_subtype"": ""buy""}",[],initial_single_level_documents+merge_step_1+inner_compaction_simplified,"[{""entity"": ""Person"", ""children"": []}, {""entity"": ""FinancialServiceAccount"", ""children"": [{""entity"": ""Transaction"", ""children"": []}]}, {""entity"": ""ListedSecurity"", ""children"": []}]"
