dataset,query_name,query_id,generic_class,query_family,query_type,selected_root,Rc,D,selected_document_depth,Re,DeltaR,DeltaRratio,structural_coverage,dominant_semantic_type,dominant_semantic_detail,association_count,associative_count,containment_count,lookup_count,has_association,has_associative,has_containment,update_volatility_mean,update_volatility_max,update_volatility_class,has_update_volatility,observed_sharedness_mean,observed_sharedness_max,observed_sharedness_class,has_observed_sharedness,document_candidate_assessment,is_write_query,source_file
imdb,QG10_AdvancedSearchWatchItems,,QG10,,select,WatchItem,4.0,1.0,1.0,0.0,4.0,1.0,Full absorption,none,,4.0,0.0,0.0,0.0,True,False,False,0.02,0.1,Low volatility exposure,True,26602.410725,644278.0,High sharedness,True,Document candidate with stronger trade-offs,False,analysis/imdb/ablation_variables/query_analytical_metadata_imdb.csv
imdb,QG1_WatchItemById,,QG1,,select,WatchItem,0.0,0.0,0.0,0.0,0.0,0.0,No structural traversal,none,,0.0,0.0,0.0,1.0,False,False,False,0.1,0.1,Low volatility exposure,True,,,Not applicable,False,Structurally neutral for document,False,analysis/imdb/ablation_variables/query_analytical_metadata_imdb.csv
imdb,QG2_WatchItemByTitle,,QG2,,select,WatchItem,0.0,0.0,0.0,0.0,0.0,0.0,No structural traversal,none,,0.0,0.0,0.0,1.0,False,False,False,0.1,0.1,Low volatility exposure,True,,,Not applicable,False,Structurally neutral for document,False,analysis/imdb/ablation_variables/query_analytical_metadata_imdb.csv
imdb,QG3_RecommendationByGenreAndSubtype,,QG3,,select,WatchItem,4.0,1.0,1.0,0.0,4.0,1.0,Full absorption,none,,4.0,0.0,0.0,0.0,True,False,False,0.02,0.1,Low volatility exposure,True,26602.410725,644278.0,High sharedness,True,Document candidate with stronger trade-offs,False,analysis/imdb/ablation_variables/query_analytical_metadata_imdb.csv
imdb,QG4_AllPersonsOfTypeForWatchItem,,QG4,,select,WatchItem,2.0,2.0,2.0,0.0,2.0,1.0,Full absorption,none,,0.0,2.0,0.0,0.0,False,True,False,0.1,0.1,Low volatility exposure,True,3.70675,5692.0,High sharedness,True,Document candidate with stronger trade-offs,False,analysis/imdb/ablation_variables/query_analytical_metadata_imdb.csv
imdb,QG5_AllPersonsForEpisodesOfSeries,,QG5,,select,WatchItem,4.0,2.0,2.0,0.0,4.0,1.0,Full absorption,none,,2.0,2.0,0.0,0.0,True,True,False,0.06,0.1,Low volatility exposure,True,2.353375,5692.0,High sharedness,True,Document candidate with stronger trade-offs,False,analysis/imdb/ablation_variables/query_analytical_metadata_imdb.csv
imdb,QG6_EpisodesOfSeries,,QG6,,select,Series,1.0,1.0,1.0,0.0,1.0,1.0,Full absorption,none,,0.0,0.0,1.0,0.0,False,False,True,0.0,0.0,No volatility exposure,False,1.0,1.0,Low sharedness,False,Strong document candidate,False,analysis/imdb/ablation_variables/query_analytical_metadata_imdb.csv
imdb,QG7_UpdateWatchItemMetadata,,QG7,,update,WatchItem,0.0,0.0,0.0,0.0,0.0,0.0,No structural traversal,none,,0.0,0.0,0.0,1.0,False,False,False,0.1,0.1,Low volatility exposure,True,,,Not applicable,False,Structurally neutral for document,True,analysis/imdb/ablation_variables/query_analytical_metadata_imdb.csv
imdb,QG8_AddPersonRoleToWatchItem,,QG8,,insert,WatchItem,2.0,2.0,2.0,0.0,2.0,1.0,Full absorption,none,,0.0,2.0,0.0,0.0,False,True,False,0.1,0.1,Low volatility exposure,True,3.70675,5692.0,High sharedness,True,Document candidate with stronger trade-offs,True,analysis/imdb/ablation_variables/query_analytical_metadata_imdb.csv
imdb,QG9_TopRatedSeriesByGenre,,QG9,,select,WatchItem,2.0,1.0,1.0,0.0,2.0,1.0,Full absorption,none,,2.0,0.0,0.0,0.0,True,False,False,0.0333333333333333,0.1,Low volatility exposure,True,53203.82145,644278.0,High sharedness,True,Document candidate with stronger trade-offs,False,analysis/imdb/ablation_variables/query_analytical_metadata_imdb.csv
ldbc_snb,IC1_TransitiveFriendsWithName,IC1,IC1,complex_read,read,Person,7.0,4.0,4.0,3.0,4.0,0.5714285714,medium,association,"['person_knows_person x3', 'person_is_located_in_place x1', 'person_study_at_organisation x1', 'person_work_at_organisation x1', 'organisation_is_located_in_place x1']",5.0,0.0,0.0,0.0,True,False,False,0.1634353298,1.0,high,True,0.0559715787478181,1.0,high,True,"Official IC1: find people connected by up to 3 knows hops with a given first name, including workplaces and studies.",False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IC2_RecentMessagesByFriends,IC2,IC2,complex_read,read,Person,3.0,2.0,2.0,1.0,2.0,0.6666666667000001,medium,association,"['person_knows_person x1', 'post_has_creator_person x1', 'comment_has_creator_person x1']",3.0,0.0,0.0,0.0,True,False,False,0.3923660738,1.0,high,True,0.0356681700650486,0.106448461162677,low,True,Official IC2: find recent messages created by the friends of a person.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,IC3,complex_read,read,Person,8.0,4.0,4.0,4.0,4.0,0.5,medium,association,"['person_knows_person x2', 'person_is_located_in_place x1', 'post_has_creator_person x1', 'comment_has_creator_person x1', 'post_is_located_in_place x1', 'comment_is_located_in_place x1', 'place_is_part_of_place x1']",6.0,0.0,1.0,0.0,True,False,True,0.2965114023,1.0,high,True,0.2268605975881605,1.0,high,True,Official IC3: find friends and friends-of-friends who created messages in two countries.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IC4_NewTopics,IC4,IC4,complex_read,read,Person,3.0,3.0,3.0,0.0,3.0,1.0,high,association,"['person_knows_person x1', 'post_has_creator_person x1', 'post_has_tag x1']",3.0,0.0,0.0,0.0,True,False,False,0.3766239124,1.0,high,True,0.0240489007246549,0.106448461162677,low,True,Official IC4: find new tags attached to posts created by friends in a time interval.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IC5_NewGroups,IC5,IC5,complex_read,read,Person,5.0,3.0,3.0,2.0,3.0,0.6000000000000001,medium,association,"['person_knows_person x2', 'forum_has_member_person x1', 'forum_container_of_post x1', 'post_has_creator_person x1']",2.0,1.0,1.0,0.0,True,True,True,0.5051911901,1.0,high,True,0.0275620283566993,0.106448461162677,low,True,Official IC5: find forums joined by friends/friends-of-friends and count their posts.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IC6_TagCoOccurrence,IC6,IC6,complex_read,read,Person,4.0,3.0,3.0,1.0,3.0,0.75,high,association,"['person_knows_person x2', 'post_has_creator_person x1', 'post_has_tag x1']",3.0,0.0,0.0,0.0,True,False,False,0.3766239124,1.0,high,True,0.0240489007246549,0.106448461162677,low,True,Official IC6: find tags co-occurring with a given tag on posts by friends/friends-of-friends.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IC7_RecentLikers,IC7,IC7,complex_read,read,Person,5.0,2.0,2.0,3.0,2.0,0.4,medium,association,"['post_has_creator_person x1', 'comment_has_creator_person x1', 'person_likes_post x1', 'person_likes_comment x1', 'person_knows_person x1']",3.0,2.0,0.0,0.0,True,True,False,0.3680296396,1.0,high,True,0.0284822248152703,0.106448461162677,low,True,Official IC7: find recent likes on a person's messages and whether likers are friends.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,INS1_AddPerson,INS1,INS1,insert,insert,Person,4.0,1.0,1.0,3.0,1.0,0.25,low,association,"['person_is_located_in_place x1', 'person_has_interest_tag x1', 'person_study_at_organisation x1', 'person_work_at_organisation x1']",4.0,0.0,0.0,0.0,True,False,False,0.1964745643,1.0,high,True,0.0560938633809133,1.0,high,True,"Official INS1: add a Person connected by location, interests, studyAt and workAt.",True,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,INS2_AddLikeToPost,INS2,INS2,insert,insert,Person,1.0,1.0,1.0,0.0,1.0,1.0,high,associative,['person_likes_post x1'],0.0,1.0,0.0,0.0,False,True,False,0.593721962,1.0,high,True,0.0174981645621359,0.106448461162677,low,True,Official INS2: add a likes edge from Person to Post.,True,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,INS3_AddLikeToComment,INS3,INS3,insert,insert,Person,1.0,1.0,1.0,0.0,1.0,1.0,high,associative,['person_likes_comment x1'],0.0,1.0,0.0,0.0,False,True,False,0.5031032761,1.0,high,True,0.0198015970068317,0.106448461162677,low,True,Official INS3: add a likes edge from Person to Comment.,True,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,INS4_AddForum,INS4,INS4,insert,insert,Forum,2.0,1.0,1.0,1.0,1.0,0.5,medium,association,"['forum_has_moderator_person x1', 'forum_has_tag x1']",2.0,0.0,0.0,0.0,True,False,False,0.3802649929,1.0,high,True,0.0138252544789878,0.106448461162677,low,True,Official INS4: add a Forum connected to a moderator and tags.,True,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,INS5_AddForumMembership,INS5,INS5,insert,insert,Forum,1.0,1.0,1.0,0.0,1.0,1.0,high,associative,['forum_has_member_person x1'],0.0,1.0,0.0,0.0,False,True,False,0.8549333519000001,1.0,high,True,0.0357177958783482,0.106448461162677,low,True,Official INS5: add a hasMember edge between Forum and Person.,True,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,INS6_AddPost,INS6,INS6,insert,insert,Post,4.0,1.0,1.0,3.0,1.0,0.25,low,association,"['post_has_creator_person x1', 'forum_container_of_post x1', 'post_is_located_in_place x1', 'post_has_tag x1']",3.0,0.0,1.0,0.0,True,False,True,0.3991063897,1.0,high,True,0.1573249733761158,1.0,high,True,"Official INS6: add a Post connected by creator, forum, location and tags.",True,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,INS7_AddComment,INS7,INS7,insert,insert,Comment,5.0,1.0,1.0,4.0,1.0,0.2,low,association,"['comment_has_creator_person x1', 'comment_reply_of_post x1', 'comment_reply_of_comment x1', 'comment_is_located_in_place x1', 'comment_has_tag x1']",3.0,0.0,2.0,0.0,True,False,True,0.4120995179,1.0,high,True,0.1535115323394324,1.0,high,True,"Official INS7: add a Comment connected by replyOf, creator, location and tags.",True,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,INS8_AddFriendship,INS8,INS8,insert,insert,Person,1.0,1.0,1.0,0.0,1.0,1.0,high,association,['person_knows_person x1'],1.0,0.0,0.0,0.0,True,False,False,0.5126248865,1.0,high,True,0.0272638260823223,0.106448461162677,low,True,Official INS8: add a knows edge between two Persons.,True,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IS1_ProfileOfPerson,IS1,IS1,short_read,read,Person,1.0,1.0,1.0,0.0,1.0,1.0,high,association,['person_is_located_in_place x1'],1.0,0.0,0.0,0.0,True,False,False,0.4263057844,1.0,high,True,0.1427471256934406,1.0,high,True,Official IS1: retrieve a person's profile and city of residence.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IS2_RecentMessagesOfPerson,IS2,IS2,short_read,read,Person,4.0,2.0,2.0,2.0,2.0,0.5,medium,mixed,"['post_has_creator_person x1', 'comment_has_creator_person x1', 'comment_reply_of_post x1', 'comment_reply_of_comment x1']",2.0,0.0,2.0,0.0,True,False,True,0.438695012,1.0,high,True,0.0295565911972716,0.106448461162677,low,True,Official IS2: retrieve the last messages created by a person and the original post in the conversation.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IS3_FriendsOfPerson,IS3,IS3,short_read,read,Person,1.0,1.0,1.0,0.0,1.0,1.0,high,association,['person_knows_person x1'],1.0,0.0,0.0,0.0,True,False,False,0.5126248865,1.0,high,True,0.0272638260823223,0.106448461162677,low,True,Official IS3: retrieve all friends of a person and the friendship creation date.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IS4_ContentOfMessage,IS4,IS4,short_read,read,Post,0.0,0.0,0.0,0.0,0.0,0.0,none,lookup,[],0.0,0.0,0.0,1.0,False,False,False,0.3502175199,0.4311836564,medium,True,0.0030802632610995,0.0165119687347337,low,True,Official IS4: retrieve content and creation date of a Message. Message is represented by Post or Comment.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IS5_CreatorOfMessage,IS5,IS5,short_read,read,Post,2.0,1.0,1.0,1.0,1.0,0.5,medium,association,"['post_has_creator_person x1', 'comment_has_creator_person x1']",2.0,0.0,0.0,0.0,True,False,False,0.4657893339,1.0,high,True,0.0410852716504127,0.106448461162677,low,True,Official IS5: retrieve the author of a Message. Message is represented by Post or Comment.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IS6_ForumOfMessage,IS6,IS6,short_read,read,Post,4.0,3.0,3.0,1.0,3.0,0.75,high,containment,"['forum_container_of_post x1', 'comment_reply_of_post x1', 'comment_reply_of_comment x1', 'forum_has_moderator_person x1']",1.0,0.0,3.0,0.0,True,False,True,0.4111082234,1.0,high,True,0.0076154044279563,0.106448461162677,low,True,Official IS6: retrieve the forum containing a Message and the moderator of that forum.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
ldbc_snb,IS7_RepliesOfMessage,IS7,IS7,short_read,read,Post,5.0,2.0,2.0,3.0,2.0,0.4,medium,association,"['comment_reply_of_post x1', 'comment_reply_of_comment x1', 'comment_has_creator_person x1', 'post_has_creator_person x1', 'person_knows_person x1']",3.0,0.0,2.0,0.0,True,False,True,0.3870143571,1.0,high,True,0.0269348500648911,0.106448461162677,low,True,Official IS7: retrieve one-hop replies of a Message and whether reply author knows original author.,False,analysis/ldbc_snb/ablation_variables/query_analytical_metadata_ldbc_snb.csv
