dataset,scale_label,query_name,winner,winner_p95,schema_lens_space,available_deterministic_baselines,deterministic_hit_count,deterministic_miss_count,mean_miss_regret,max_miss_regret,miss_details,hit_details
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,G2,37.62679109349847,G2|G4|G9,3,1,2,0.177555559314289,0.2446044957898334,always_reference->CONTROL p95=46.830 regret=0.245; relationship_type_only->G9 p95=41.785 regret=0.111,always_embed->G2
ldbc_snb,sf3,IC7_RecentLikers,G4,8.036814247316215,G0|G3|G4|G6,4,2,2,0.210359962377999,0.210359962377999,always_reference->G0 p95=9.727 regret=0.210; relationship_type_only->G0 p95=9.727 regret=0.210,always_embed->G4; depth_only->G4
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,G9,0.5755637714173645,G2|G3|G4|G5|G7|G9,4,2,2,0.15222013148457686,0.1910690660479382,always_reference->G7 p95=0.641 regret=0.113; relationship_type_only->G4 p95=0.686 regret=0.191,always_embed->G9; depth_only->G9
fiben,sf10,Q10_CreateAccountHoldingAndBuyTransaction,G3,0.4270611854735761,G2|G3|G4|G5|G7|G9,4,2,2,0.0824734542604378,0.1573426560559263,always_embed->G2 p95=0.430 regret=0.008; relationship_type_only->G4 p95=0.494 regret=0.157,always_reference->G3; depth_only->G3
ldbc_snb,sf1,IC3_FriendsAndFriendsOfFriendsInCountries,G7,191.8174951424589,G0|G3|G7|G9,4,2,2,0.0834043732298209,0.1417345757913519,always_embed->G9 p95=219.005 regret=0.142; relationship_type_only->G3 p95=196.627 regret=0.025,always_reference->G7; depth_only->G7
fiben,sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,G9,0.3859236370772123,G1|G3|G5|G7|G9,4,2,2,0.0744188836107523,0.1057958308311154,always_reference->G7 p95=0.403 regret=0.043; relationship_type_only->G3 p95=0.427 regret=0.106,always_embed->G9; depth_only->G9
imdb,sf0.25,QG3_RecommendationByGenreAndSubtype,G8,5.637626150928553,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,2,2,0.0776049152647177,0.0955343675598919,always_reference->G7 p95=5.974 regret=0.060; relationship_type_only->G2 p95=6.176 regret=0.096,always_embed->G8; depth_only->G8
fiben,sf10,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,G5,4.308413300896064,G2|G3|G4|G5|G7|G9,4,2,2,0.0869354536492334,0.0869354536492334,always_reference->G3 p95=4.683 regret=0.087; depth_only->G3 p95=4.683 regret=0.087,always_embed->G5; relationship_type_only->G5
ldbc_snb,sf3,INS6_AddPost,G7,2.20732415036764,G0|G3|G7|G9,4,2,2,0.0779079578074575,0.0779079578074575,always_embed->G9 p95=2.379 regret=0.078; depth_only->G9 p95=2.379 regret=0.078,always_reference->G7; relationship_type_only->G7
imdb,sf1,QG6_EpisodesOfSeries,G7,2.2719003987731408,G3|G7|G8|G9,4,2,2,0.0392045914284032,0.0645229867204636,always_embed->G4 p95=2.303 regret=0.014; depth_only->G2 p95=2.418 regret=0.065,always_reference->G7; relationship_type_only->G7
ldbc_snb,sf0.1,IS6_ForumOfMessage,G9,1.170768500014674,G0|G3|G7|G9,4,2,2,0.0609735829805338,0.0609735829805338,always_reference->G3 p95=1.242 regret=0.061; relationship_type_only->G3 p95=1.242 regret=0.061,always_embed->G9; depth_only->G9
ldbc_snb,sf1,IC5_NewGroups,G6,176.75362160953227,G0|G3|G4|G6|G7|G9,4,2,2,0.0365936265598308,0.0504629928458128,always_embed->G9 p95=180.770 regret=0.023; relationship_type_only->G0 p95=185.673 regret=0.050,always_reference->G6; depth_only->G6
ldbc_snb,sf1,IS2_RecentMessagesOfPerson,G9,3.2308551410096698,G0|G3|G4|G6|G7|G9,4,2,2,0.0477721575705348,0.0477721575705348,always_reference->G3 p95=3.385 regret=0.048; relationship_type_only->G3 p95=3.385 regret=0.048,always_embed->G9; depth_only->G9
imdb,sf0.5,QG3_RecommendationByGenreAndSubtype,G8,7.588796650088624,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,2,2,0.031683102912252,0.0476180905366857,always_reference->G7 p95=7.708 regret=0.016; relationship_type_only->G0 p95=7.950 regret=0.048,always_embed->G8; depth_only->G8
imdb,sf1,QG3_RecommendationByGenreAndSubtype,G8,10.41732880621566,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,2,2,0.029191633361444598,0.0297564470334241,always_reference->G7 p95=10.716 regret=0.029; relationship_type_only->G0 p95=10.727 regret=0.030,always_embed->G8; depth_only->G8
imdb,sf0.25,QG10_AdvancedSearchWatchItems,G9,115.31208974847686,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,2,2,0.0227482131836002,0.0227482131836002,always_reference->G3 p95=117.935 regret=0.023; relationship_type_only->G3 p95=117.935 regret=0.023,always_embed->G9; depth_only->G9
ldbc_snb,sf1,IS6_ForumOfMessage,G9,2.301289017486852,G0|G3|G7|G9,4,2,2,0.017808403055786,0.017808403055786,always_reference->G0 p95=2.342 regret=0.018; relationship_type_only->G0 p95=2.342 regret=0.018,always_embed->G9; depth_only->G9
fiben,sf30,Q6_TechUSListedSecuritiesWithHighLastTradedValue,G3,418.83483037818223,G1|G3|G5|G7|G9,4,2,2,0.008140301412479749,0.0159245143983698,always_embed->G5 p95=418.984 regret=0.000; depth_only->G9 p95=425.505 regret=0.016,always_reference->G3; relationship_type_only->G3
fiben,sf30,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,G4,17.142359330318868,G2|G3|G4|G5|G7|G9,4,2,2,0.00854790360264205,0.014715691784255,always_reference->CONTROL p95=17.183 regret=0.002; depth_only->G3 p95=17.395 regret=0.015,always_embed->G4; relationship_type_only->G4
fiben,sf30,Q7_PersonsWhoBoughtMoreIBMThanSold,G3,1.322278199950233,G2|G3|G4|G5|G6|G7|G9,4,2,2,0.0031734417258875,0.0031734417258875,always_embed->G4 p95=1.326 regret=0.003; relationship_type_only->G4 p95=1.326 regret=0.003,always_reference->G3; depth_only->G3
imdb,sf1,QG10_AdvancedSearchWatchItems,G9,299.80202334627387,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,2,2,0.0018222478860061,0.0018222478860061,always_reference->G3 p95=300.348 regret=0.002; relationship_type_only->G3 p95=300.348 regret=0.002,always_embed->G9; depth_only->G9
ldbc_snb,sf3,IS7_RepliesOfMessage,G7,14.036817901069298,G0|G3|G7|G9,4,2,2,0.0010401332232856,0.0010401332232856,always_embed->G9 p95=14.051 regret=0.001; depth_only->G9 p95=14.051 regret=0.001,always_reference->G7; relationship_type_only->G7
ldbc_snb,sf1,INS5_AddForumMembership,G4,2.4009961780393496,G4|G6,2,1,1,4.459762526062796,4.459762526062796,always_reference->G6 p95=13.109 regret=4.460,always_embed->G4
ldbc_snb,sf0.1,INS5_AddForumMembership,G4,1.1133203508506997,G4|G6,2,1,1,1.1540884469146786,1.1540884469146786,always_reference->G6 p95=2.398 regret=1.154,always_embed->G4
ldbc_snb,sf0.1,INS1_AddPerson,G3,1.1844372005725743,G0|G3,2,1,1,1.0907164170554389,1.0907164170554389,relationship_type_only->G0 p95=2.476 regret=1.091,always_reference->G3
ldbc_snb,sf3,IS4_ContentOfMessage,G1,1.2613651109859347,G1,2,1,1,1.0574424904493696,1.0574424904493696,always_reference->G0 p95=2.595 regret=1.057,relationship_type_only->G1
ldbc_snb,sf0.1,INS3_AddLikeToComment,G4,1.2222706456668675,G4|G6,2,1,1,0.8463105196698854,0.8463105196698854,always_reference->G6 p95=2.257 regret=0.846,always_embed->G4
ldbc_snb,sf1,IC7_RecentLikers,G3,7.0093220987473615,G0|G3|G4|G6,4,3,1,0.7492261851487831,0.7492261851487831,always_embed->G4 p95=12.261 regret=0.749,always_reference->G3; depth_only->G3; relationship_type_only->G3
imdb,sf0.25,QG4_AllPersonsOfTypeForWatchItem,G6,0.3935545493732206,G0|G2|G3|G4|G5|G6,4,3,1,0.7146249525977444,0.7146249525977444,always_embed->G9 p95=0.675 regret=0.715,always_reference->G6; depth_only->G6; relationship_type_only->G6
fiben,sf10,Q5_ReportsAndMetricDataOfCompany,G9,28.43278254731557,G2|G4|G9,3,2,1,0.7029070821009586,0.7029070821009586,always_reference->CONTROL p95=48.418 regret=0.703,always_embed->G9; relationship_type_only->G9
imdb,sf1,QG4_AllPersonsOfTypeForWatchItem,G6,0.2023525965341832,G0|G2|G3|G4|G5|G6,4,3,1,0.6599055555784682,0.6599055555784682,always_embed->G5 p95=0.336 regret=0.660,always_reference->G6; depth_only->G6; relationship_type_only->G6
ldbc_snb,sf3,INS3_AddLikeToComment,G4,1.3124491510097869,G4|G6,2,1,1,0.6238619117361176,0.6238619117361176,always_reference->G6 p95=2.131 regret=0.624,always_embed->G4
ldbc_snb,sf3,INS2_AddLikeToPost,G6,1.6308153048157683,G4|G6,2,1,1,0.5479275991796695,0.5479275991796695,always_embed->G4 p95=2.524 regret=0.548,always_reference->G6
ldbc_snb,sf3,IC4_NewTopics,G0,45.1884718509973,G0|G3,3,2,1,0.4774383666752384,0.4774383666752384,depth_only->G3 p95=66.763 regret=0.477,always_reference->G0; relationship_type_only->G0
ldbc_snb,sf1,INS1_AddPerson,G3,1.6241159406490615,G0|G3,2,1,1,0.4701847005103861,0.4701847005103861,relationship_type_only->G0 p95=2.388 regret=0.470,always_reference->G3
imdb,sf0.5,QG5_AllPersonsForEpisodesOfSeries,G4,164.45552805307668,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,3,1,0.4070369089601099,0.4070369089601099,always_reference->G7 p95=231.395 regret=0.407,always_embed->G4; depth_only->G4; relationship_type_only->G4
ldbc_snb,sf3,INS4_AddForum,G3,1.4339607529109342,G0|G3,2,1,1,0.3957351285153878,0.3957351285153878,relationship_type_only->G0 p95=2.001 regret=0.396,always_reference->G3
ldbc_snb,sf3,INS5_AddForumMembership,G6,1.6525435086805365,G4|G6,2,1,1,0.3706078311536062,0.3706078311536062,always_embed->G4 p95=2.265 regret=0.371,always_reference->G6
imdb,sf0.25,QG5_AllPersonsForEpisodesOfSeries,G4,81.24685599796065,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,3,1,0.3383278640860322,0.3383278640860322,always_reference->G6 p95=108.735 regret=0.338,always_embed->G4; depth_only->G4; relationship_type_only->G4
imdb,sf1,QG5_AllPersonsForEpisodesOfSeries,G4,367.5689083487668,G0|G2|G3|G4|G5|G6|G7|G8|G9,4,3,1,0.327169654364407,0.327169654364407,always_reference->G3 p95=487.826 regret=0.327,always_embed->G4; depth_only->G4; relationship_type_only->G4
ldbc_snb,sf1,INS2_AddLikeToPost,G6,1.159712503431365,G4|G6,2,1,1,0.1569324119975227,0.1569324119975227,always_embed->G4 p95=1.342 regret=0.157,always_reference->G6
ldbc_snb,sf3,IC3_FriendsAndFriendsOfFriendsInCountries,G0,205.56545419531176,G0|G3|G7|G9,4,3,1,0.1500247452593155,0.1500247452593155,always_embed->G9 p95=236.405 regret=0.150,always_reference->G0; depth_only->G0; relationship_type_only->G0
ldbc_snb,sf0.1,IS4_ContentOfMessage,G1,1.9409583990636747,G1,2,1,1,0.1377681237491675,0.1377681237491675,always_reference->G0 p95=2.208 regret=0.138,relationship_type_only->G1
ldbc_snb,sf0.1,INS2_AddLikeToPost,G4,1.049604903528234,G4|G6,2,1,1,0.1298169384617996,0.1298169384617996,always_reference->G6 p95=1.186 regret=0.130,always_embed->G4
fiben,sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,G4,1.186998502817005,G2|G3|G4|G5|G6|G7|G9,4,3,1,0.1249016071072084,0.1249016071072084,always_reference->G3 p95=1.335 regret=0.125,always_embed->G4; depth_only->G4; relationship_type_only->G4
ldbc_snb,sf3,IS1_ProfileOfPerson,G3,1.229828267241828,G0|G3,2,1,1,0.1085062461577729,0.1085062461577729,relationship_type_only->G0 p95=1.363 regret=0.109,always_reference->G3
ldbc_snb,sf1,INS3_AddLikeToComment,G6,1.868959490093402,G4|G6,2,1,1,0.1021591779172235,0.1021591779172235,always_embed->G4 p95=2.060 regret=0.102,always_reference->G6
imdb,sf0.5,QG4_AllPersonsOfTypeForWatchItem,G5,0.3330338535306509,G0|G2|G3|G4|G5|G6,4,3,1,0.0931168107275988,0.0931168107275988,always_reference->G6 p95=0.364 regret=0.093,always_embed->G5; depth_only->G5; relationship_type_only->G5
ldbc_snb,sf1,IC4_NewTopics,G0,66.38714834698476,G0|G3,3,2,1,0.0853898005450184,0.0853898005450184,depth_only->G3 p95=72.056 regret=0.085,always_reference->G0; relationship_type_only->G0
fiben,sf10,Q3_SecuritiesHeldInEachFinancialServiceAccount,G4,0.8991432900074869,G2|G3|G4|G5|G7|G9,4,3,1,0.0721285598306034,0.0721285598306034,always_reference->G3 p95=0.964 regret=0.072,always_embed->G4; depth_only->G4; relationship_type_only->G4
ldbc_snb,sf1,INS6_AddPost,G9,2.18829244695371,G0|G3|G7|G9,4,3,1,0.0709046182609792,0.0709046182609792,always_reference->G3 p95=2.343 regret=0.071,always_embed->G9; depth_only->G9; relationship_type_only->G9
ldbc_snb,sf0.1,IC3_FriendsAndFriendsOfFriendsInCountries,G0,164.71139774730543,G0|G3|G7|G9,4,3,1,0.0572752716624444,0.0572752716624444,always_embed->G9 p95=174.145 regret=0.057,always_reference->G0; depth_only->G0; relationship_type_only->G0
ldbc_snb,sf3,IC6_TagCoOccurrence,G0,253.19213405746268,G0|G3,3,2,1,0.0483231622729852,0.0483231622729852,depth_only->G3 p95=265.427 regret=0.048,always_reference->G0; relationship_type_only->G0
ldbc_snb,sf3,INS1_AddPerson,G3,1.432566391304135,G0|G3,2,1,1,0.0448931692491604,0.0448931692491604,relationship_type_only->G0 p95=1.497 regret=0.045,always_reference->G3
ldbc_snb,sf1,IS7_RepliesOfMessage,G9,11.009078891947864,G0|G3|G7|G9,4,3,1,0.0397835244210866,0.0397835244210866,always_reference->G0 p95=11.447 regret=0.040,always_embed->G9; depth_only->G9; relationship_type_only->G9
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,G5,0.4349461290985345,G2|G3|G4|G5|G7|G9,4,3,1,0.0300086147301877,0.0300086147301877,always_reference->G3 p95=0.448 regret=0.030,always_embed->G5; depth_only->G5; relationship_type_only->G5
fiben,sf10,Q9_PersonsWhoBoughtAndSoldSameStock,G5,1.0568699159193784,G2|G3|G4|G5|G7|G9,4,3,1,0.0172485956279212,0.0172485956279212,always_reference->G3 p95=1.075 regret=0.017,always_embed->G5; depth_only->G5; relationship_type_only->G5
fiben,sf10,Q7_PersonsWhoBoughtMoreIBMThanSold,G6,0.8576980675570667,G2|G3|G4|G5|G6|G7|G9,4,3,1,0.0063897456126071,0.0063897456126071,always_embed->G5 p95=0.863 regret=0.006,always_reference->G6; depth_only->G6; relationship_type_only->G6
ldbc_snb,sf1,INS7_AddComment,G9,2.159610408125445,G0|G3|G7|G9,4,3,1,0.0061544588253577,0.0061544588253577,always_reference->G3 p95=2.173 regret=0.006,always_embed->G9; depth_only->G9; relationship_type_only->G9
fiben,sf10,Q8_IBMTransactionsBelowAverageSellingPrice,G5,0.9216521284542978,G3|G5|G6|G7|G9,4,3,1,0.0061355842222458,0.0061355842222458,always_reference->G7 p95=0.927 regret=0.006,always_embed->G5; depth_only->G5; relationship_type_only->G5
ldbc_snb,sf3,IC2_RecentMessagesByFriends,G0,36.10532139864517,G0|G3,3,2,1,0.0055231482550237,0.0055231482550237,depth_only->G3 p95=36.305 regret=0.006,always_reference->G0; relationship_type_only->G0
fiben,sf30,Q3_SecuritiesHeldInEachFinancialServiceAccount,G5,1.652036904124543,G2|G3|G4|G5|G7|G9,4,3,1,0.0049291239080551,0.0049291239080551,always_reference->G7 p95=1.660 regret=0.005,always_embed->G5; depth_only->G5; relationship_type_only->G5
fiben,sf30,Q8_IBMTransactionsBelowAverageSellingPrice,G5,1.2928820273373276,G3|G5|G6|G7|G9,4,3,1,0.0020089463298501,0.0020089463298501,always_reference->G3 p95=1.295 regret=0.002,always_embed->G5; depth_only->G5; relationship_type_only->G5
