dataset,file,status,rows,cols,roles,matched_required_columns,missing_required_columns,all_columns
fiben,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\fiben\ablation_variables\query_analytical_metadata_fiben.csv,OK,10,138,query_metadata,"{'query_metadata': ['query_name', 'selected_root', 'document_depth', 'Rc', 'Re', 'DeltaR', 'DeltaRratio', 'touches_association', 'touches_containment', 'touches_descriptor', 'touches_ownership', 'touches_subtype', 'query_update_volatility_score', 'query_update_volatility_level', 'has_query_update_volatility', 'avg_observed_sharedness_score', 'max_observed_sharedness_score', 'query_observed_sharedness_level', 'has_observed_sharedness', 'activation_has_relationship_traversal', 'activation_has_read_reduction', 'activation_has_update_pressure', 'activation_has_sharedness_pressure']}",{'query_metadata': []},"['query_name', 'generic_class', 'query_family', 'query_type', 'abstract_query', 'selected_root', 'document_depth', 'selected_document_depth', 'best_document_depth', 'max_depth_for_query', 'document_depth_ratio', 'depth_position_label', 'depth_effect_label', 'Rc', 'Re', 'DeltaR', 'DeltaRratio', 'relationship_reduction_potential', 'relationship_reduction_strength', 'document_potential_class', 'is_full_coverage', 'best_depth_is_full_coverage', 'n_reachable_entities', 'reachable_entities', 'n_total_edges', 'n_covered_edges', 'n_remaining_edges', 'covered_relationships', 'remaining_relationships', 'covered_semantic_types', 'remaining_semantic_types', 'entities_touched', 'n_entities_touched', 'semantic_types_touched', 'observed_cardinalities_touched', 'hint_confidences_touched', 'has_low_confidence_mapping', 'has_no_match_cardinality', 'physical_mapping_reliability', 'compact_matrix_status', 'n_unreachable_entities', 'n_unique_edges', 'n_relationship_edges', 'n_semantic_types', 'n_low_confidence_edges', 'n_medium_confidence_edges', 'n_high_confidence_edges', 'n_no_match_edges', 'touches_association', 'touches_containment', 'touches_descriptor', 'touches_ownership', 'touches_subtype', 'n_association_edges', 'n_containment_edges', 'n_descriptor_edges', 'n_ownership_edges', 'n_subtype_edges', 'selection_strategy', 'selection_reason', 'selected_root_is_candidate', 'selected_root_is_touched', 'max_entity_distance_D', 'min_entity_distance_D', 'avg_entity_distance_D', 'max_entity_depth', 'max_edge_depth', 'relationship_status', 'relationship_names_touched', 'has_relationship_reduction_potential', 'has_full_coverage_at_best_depth', 'operation_class', 'is_write_query', 'created_entities', 'updated_entities', 'deleted_entities', 'explicitly_modified_entities', 'referenced_existing_entities', 'relationship_created_edges', 'relationship_created_entities', 'affected_persistence_region_entities', 'all_write_related_entities', 'n_created_entities', 'n_updated_entities', 'n_deleted_entities', 'n_explicitly_modified_entities', 'n_referenced_existing_entities', 'n_relationship_created_edges', 'n_relationship_created_entities', 'n_affected_persistence_region_entities', 'n_all_write_related_entities', 'modification_notes', 'query_update_volatility_score', 'query_update_volatility_level', 'has_query_update_volatility', 'n_touched_entities_for_volatility', 'n_touched_entities_with_update_volatility', 'sum_touched_update_volatility', 'avg_touched_update_volatility', 'max_touched_update_volatility', 'touched_entities_with_update_volatility', 'n_write_related_entities_for_volatility', 'n_write_related_entities_with_update_volatility', 'sum_write_related_update_volatility', 'avg_write_related_update_volatility', 'max_write_related_update_volatility', 'write_related_entities_with_update_volatility', 'update_embedding_tradeoff_class', 'update_volatility_presence', 'avg_observed_sharedness_score', 'max_observed_sharedness_score', 'sum_observed_sharedness_score', 'n_edges_with_sharedness', 'n_high_sharedness_edges', 'shared_relationships', 'shared_target_entities', 'observed_sharedness_levels', 'query_observed_sharedness_level', 'has_observed_sharedness', 'sharedness_embedding_tradeoff_class', 'combined_document_design_risk_class', 'observed_sharedness_presence', 'activation_has_relationship_traversal', 'activation_has_read_reduction', 'activation_full_relationship_reduction', 'activation_high_read_gain', 'activation_medium_or_high_read_gain', 'activation_has_depth_greater_than_zero', 'activation_has_multi_entity_query', 'activation_has_remaining_external_edges', 'activation_has_update_pressure', 'activation_high_update_pressure', 'activation_has_sharedness_pressure', 'activation_high_sharedness_pressure', 'activation_has_mapping_warning', 'activation_read_gain_level', 'activation_update_pressure_level', 'activation_sharedness_pressure_level']"
fiben,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\fiben\ablation_variables\query_class_activation_fiben.csv,OK,10,30,activation,"{'activation': ['query_name', 'active_g_classes', 'primary_activation_class', 'activation_has_g0', 'activation_has_g1', 'activation_has_g2', 'activation_has_g3', 'activation_has_g4', 'activation_has_g5', 'activation_has_g6', 'activation_has_g7', 'activation_has_g8', 'activation_has_g9']}",{'activation': []},"['query_name', 'generic_class', 'query_family', 'query_type', 'selected_root', 'document_depth', 'Rc', 'Re', 'DeltaR', 'DeltaRratio', 'query_update_volatility_score', 'max_observed_sharedness_score', 'active_g_classes', 'active_g_class_names', 'inactive_g_classes', 'n_active_g_classes', 'primary_activation_class', 'primary_activation_name', 'primary_activation_score', 'primary_activation_reason', 'activation_has_g0', 'activation_has_g1', 'activation_has_g2', 'activation_has_g3', 'activation_has_g4', 'activation_has_g5', 'activation_has_g6', 'activation_has_g7', 'activation_has_g8', 'activation_has_g9']"
fiben,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\fiben\ablation_variables\query_class_activation_long_fiben.csv,OK,100,17,activation|activation_long,"{'activation': ['query_name'], 'activation_long': ['query_name', 'g_class', 'is_active', 'activation_status', 'activation_score', 'activation_reason']}","{'activation': ['active_g_classes', 'primary_activation_class', 'activation_has_g0', 'activation_has_g1', 'activation_has_g2', 'activation_has_g3', 'activation_has_g4', 'activation_has_g5', 'activation_has_g6', 'activation_has_g7', 'activation_has_g8', 'activation_has_g9'], 'activation_long': []}","['query_name', 'generic_class', 'query_family', 'query_type', 'selected_root', 'document_depth', 'g_class', 'g_class_name', 'g_class_description', 'is_active', 'activation_status', 'activation_score', 'activation_reason', 'activation_evidence', 'DeltaRratio', 'query_update_volatility_score', 'max_observed_sharedness_score']"
fiben,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\fiben\ablation_variables\reduction_delta_by_query_depth_fiben.csv,OK,35,24,reduction,"{'reduction': ['query_name', 'selected_root', 'document_depth', 'Rc', 'Re', 'DeltaR', 'DeltaRratio']}",{'reduction': []},"['query_name', 'generic_class', 'query_family', 'query_type', 'selected_root', 'document_depth', 'max_depth_for_query', 'Rc', 'Rc_status', 'Re', 'DeltaR', 'DeltaRratio', 'n_reachable_entities', 'reachable_entities', 'n_total_edges', 'n_covered_edges', 'n_remaining_edges', 'covered_edge_ids', 'remaining_edge_ids', 'covered_relationships', 'remaining_relationships', 'covered_semantic_types', 'remaining_semantic_types', 'is_full_coverage']"
ldbc_snb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\ldbc_snb\ablation_variables\benchmark_execution_plan_ldbc_snb.csv,OK,64,36,benchmark,"{'benchmark': ['candidate_id', 'query_name', 'official_id', 'benchmark_group', 'activation_strength', 'activation_reason', 'root_entity', 'g_class', 'g_family', 'g_role', 'mongodb_pattern', 'document_strategy', 'Rc_weighted', 'D', 'Re', 'DeltaRratio', 'dominant_semantic_type', 'update_volatility_max', 'observed_sharedness_max']}",{'benchmark': []},"['candidate_id', 'dataset', 'scale_label', 'workload', 'query_name', 'official_id', 'official_title', 'query_group', 'operation_type', 'benchmark_group', 'benchmark_group_priority', 'query_group_priority', 'activation_strength', 'activation_reason', 'root_entity', 'root_collection', 'root_pk', 'g_class', 'g_family', 'g_role', 'g_label', 'mongodb_pattern', 'document_strategy', 'embedded_entities', 'referenced_entities', 'summarized_entities', 'edge_collections', 'reverse_indexes', 'Rc_weighted', 'D', 'Re', 'DeltaRratio', 'dominant_semantic_type', 'update_volatility_max', 'observed_sharedness_max', 'include_in_full_benchmark']"
ldbc_snb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\ldbc_snb\ablation_variables\mongodb_candidate_specs_overview_ldbc_snb.csv,OK,64,21,unknown,{},{},"['candidate_id', 'query_name', 'official_id', 'query_group', 'operation_type', 'root_entity', 'root_collection', 'g_class', 'g_family', 'g_role', 'activation_strength', 'mongodb_pattern', 'document_strategy', 'embedded_entities', 'referenced_entities', 'summarized_entities', 'edge_collections', 'reverse_indexes', 'DeltaRratio', 'update_volatility_max', 'observed_sharedness_max']"
ldbc_snb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\ldbc_snb\ablation_variables\query_analytical_metadata_ldbc_snb.csv,OK,22,37,query_metadata,"{'query_metadata': ['query_name', 'official_id', 'query_group', 'operation_type', 'root_entity', 'Rc_weighted', 'D', 'Re', 'DeltaR', 'DeltaRratio', 'association_count', 'associative_count', 'containment_count', 'lookup_count', 'dominant_semantic_type', 'update_volatility_mean', 'update_volatility_max', 'update_volatility_class', 'observed_sharedness_mean', 'observed_sharedness_max', 'observed_sharedness_class']}",{'query_metadata': []},"['query_name', 'official_id', 'official_title', 'query_group', 'operation_type', 'root_entity', 'accessed_entities', 'relationships_used', 'weighted_relationships', 'Rc_distinct', 'Rc_weighted', 'D', 'Re', 'DeltaR', 'DeltaRratio', 'depth_class', 'structural_reduction_class', 'association_count', 'associative_count', 'containment_count', 'lookup_count', 'dominant_semantic_type', 'entity_volatility_mean', 'entity_volatility_max', 'relationship_volatility_mean', 'relationship_volatility_max', 'update_volatility_mean', 'update_volatility_max', 'update_volatility_class', 'entity_sharedness_mean', 'entity_sharedness_max', 'relationship_sharedness_mean', 'relationship_sharedness_max', 'observed_sharedness_mean', 'observed_sharedness_max', 'observed_sharedness_class', 'description']"
ldbc_snb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\ldbc_snb\ablation_variables\query_class_activation_ldbc_snb.csv,OK,22,12,activation,"{'activation': ['query_name', 'official_id', 'activated_g_classes', 'primary_g_classes', 'secondary_g_classes', 'control_g_classes', 'n_activated_classes']}",{'activation': []},"['query_name', 'official_id', 'official_title', 'query_group', 'operation_type', 'root_entity', 'dominant_semantic_type', 'activated_g_classes', 'primary_g_classes', 'secondary_g_classes', 'control_g_classes', 'n_activated_classes']"
ldbc_snb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\ldbc_snb\ablation_variables\query_class_activation_long_ldbc_snb.csv,OK,64,19,activation|activation_long,"{'activation': ['query_name', 'official_id'], 'activation_long': ['query_name', 'official_id', 'g_class', 'activation_strength', 'activation_reason', 'g_family', 'g_role', 'g_label']}","{'activation': ['activated_g_classes', 'primary_g_classes', 'secondary_g_classes', 'control_g_classes', 'n_activated_classes'], 'activation_long': []}","['query_name', 'official_id', 'official_title', 'query_group', 'operation_type', 'root_entity', 'dominant_semantic_type', 'Rc_weighted', 'D', 'Re', 'DeltaRratio', 'update_volatility_max', 'observed_sharedness_max', 'g_class', 'activation_strength', 'activation_reason', 'g_family', 'g_role', 'g_label']"
ldbc_snb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\ldbc_snb\ablation_variables\query_sharedness_ldbc_snb.csv,OK,22,13,unknown,{},{},"['query_name', 'official_id', 'query_group', 'operation_type', 'root_entity', 'n_accessed_entities', 'n_relationships_used', 'entity_sharedness_mean', 'entity_sharedness_max', 'relationship_sharedness_mean', 'relationship_sharedness_max', 'observed_sharedness_mean', 'observed_sharedness_max']"
ldbc_snb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\ldbc_snb\ablation_variables\query_update_volatility_ldbc_snb.csv,OK,22,13,unknown,{},{},"['query_name', 'official_id', 'query_group', 'operation_type', 'root_entity', 'n_touched_entities', 'n_touched_relationships', 'entity_volatility_mean', 'entity_volatility_max', 'relationship_volatility_mean', 'relationship_volatility_max', 'update_volatility_mean', 'update_volatility_max']"
ldbc_snb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\ldbc_snb\ablation_variables\reduction_metrics_ldbc_snb.csv,OK,22,7,reduction,"{'reduction': ['query_name', 'official_id', 'Rc_weighted', 'D', 'Re', 'DeltaR', 'DeltaRratio']}",{'reduction': []},"['query_name', 'official_id', 'Rc_weighted', 'D', 'Re', 'DeltaR', 'DeltaRratio']"
ldbc_snb,C:\Users\Hudso\OneDrive\Documentos\framework documents\reprodutibility_repository\analysis\ldbc_snb\ablation_variables\structural_reduction_matrix_ldbc_snb.csv,OK,22,21,reduction,"{'reduction': ['query_name', 'official_id', 'Rc_weighted', 'D', 'Re', 'DeltaR', 'DeltaRratio']}",{'reduction': []},"['query_name', 'official_id', 'official_title', 'query_group', 'operation_type', 'root_entity', 'accessed_entities', 'relationships_used', 'Rc_distinct', 'Rc_weighted', 'D', 'Re', 'DeltaR', 'DeltaRratio', 'association_count', 'associative_count', 'containment_count', 'lookup_count', 'dominant_semantic_type', 'weighted_relationships', 'description']"
