dataset,scale_label,query_name,run_phase,available_config_count,available_g_classes,schema_lens_g_classes,schema_lens_class_count,dominant_semantics,depth_D,metadata_status
fiben,sf30,Q9_PersonsWhoBoughtAndSoldSameStock,hot,7,CONTROL|G2|G3|G4|G5|G7|G9,G2|G3|G4|G5|G7|G9,6,associative,2,confirmed
imdb,sf0.25,QG10_AdvancedSearchWatchItems,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf0.25,QG10_AdvancedSearchWatchItems,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf0.25,QG1_WatchItemById,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.25,QG1_WatchItemById,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.25,QG2_WatchItemByTitle,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.25,QG2_WatchItemByTitle,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.25,QG3_RecommendationByGenreAndSubtype,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf0.25,QG3_RecommendationByGenreAndSubtype,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf0.25,QG4_AllPersonsOfTypeForWatchItem,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf0.25,QG4_AllPersonsOfTypeForWatchItem,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf0.25,QG5_AllPersonsForEpisodesOfSeries,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,associative,2,confirmed
imdb,sf0.25,QG5_AllPersonsForEpisodesOfSeries,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,associative,2,confirmed
imdb,sf0.25,QG6_EpisodesOfSeries,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G3|G7|G8|G9,4,containment,1,confirmed
imdb,sf0.25,QG6_EpisodesOfSeries,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G3|G7|G8|G9,4,containment,1,confirmed
imdb,sf0.25,QG7_UpdateWatchItemMetadata,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.25,QG7_UpdateWatchItemMetadata,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.25,QG8_AddPersonRoleToWatchItem,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf0.25,QG8_AddPersonRoleToWatchItem,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf0.25,QG9_TopRatedSeriesByGenre,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf0.25,QG9_TopRatedSeriesByGenre,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf0.5,QG10_AdvancedSearchWatchItems,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf0.5,QG10_AdvancedSearchWatchItems,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf0.5,QG1_WatchItemById,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.5,QG1_WatchItemById,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.5,QG2_WatchItemByTitle,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.5,QG2_WatchItemByTitle,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.5,QG3_RecommendationByGenreAndSubtype,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf0.5,QG3_RecommendationByGenreAndSubtype,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf0.5,QG4_AllPersonsOfTypeForWatchItem,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf0.5,QG4_AllPersonsOfTypeForWatchItem,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf0.5,QG5_AllPersonsForEpisodesOfSeries,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,associative,2,confirmed
imdb,sf0.5,QG5_AllPersonsForEpisodesOfSeries,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,associative,2,confirmed
imdb,sf0.5,QG6_EpisodesOfSeries,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G3|G7|G8|G9,4,containment,1,confirmed
imdb,sf0.5,QG6_EpisodesOfSeries,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G3|G7|G8|G9,4,containment,1,confirmed
imdb,sf0.5,QG7_UpdateWatchItemMetadata,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.5,QG7_UpdateWatchItemMetadata,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf0.5,QG8_AddPersonRoleToWatchItem,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf0.5,QG8_AddPersonRoleToWatchItem,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf0.5,QG9_TopRatedSeriesByGenre,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf0.5,QG9_TopRatedSeriesByGenre,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf1,QG10_AdvancedSearchWatchItems,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf1,QG10_AdvancedSearchWatchItems,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf1,QG1_WatchItemById,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf1,QG1_WatchItemById,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf1,QG2_WatchItemByTitle,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf1,QG2_WatchItemByTitle,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf1,QG3_RecommendationByGenreAndSubtype,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf1,QG3_RecommendationByGenreAndSubtype,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf1,QG4_AllPersonsOfTypeForWatchItem,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf1,QG4_AllPersonsOfTypeForWatchItem,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf1,QG5_AllPersonsForEpisodesOfSeries,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,associative,2,confirmed
imdb,sf1,QG5_AllPersonsForEpisodesOfSeries,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,associative,2,confirmed
imdb,sf1,QG6_EpisodesOfSeries,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G3|G7|G8|G9,4,containment,1,confirmed
imdb,sf1,QG6_EpisodesOfSeries,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G3|G7|G8|G9,4,containment,1,confirmed
imdb,sf1,QG7_UpdateWatchItemMetadata,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf1,QG7_UpdateWatchItemMetadata,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,local,0,confirmed
imdb,sf1,QG8_AddPersonRoleToWatchItem,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf1,QG8_AddPersonRoleToWatchItem,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6,6,associative,2,confirmed
imdb,sf1,QG9_TopRatedSeriesByGenre,cold,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
imdb,sf1,QG9_TopRatedSeriesByGenre,hot,9,G0|G2|G3|G4|G5|G6|G7|G8|G9,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,association,1,confirmed
ldbc_snb,sf0.1,IC1_TransitiveFriendsWithName,cold,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf0.1,IC1_TransitiveFriendsWithName,hot,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf0.1,IC2_RecentMessagesByFriends,cold,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf0.1,IC2_RecentMessagesByFriends,hot,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf0.1,IC3_FriendsAndFriendsOfFriendsInCountries,cold,4,G0|G3|G7|G9,G0|G3|G7|G9,4,association,3,provisional
ldbc_snb,sf0.1,IC3_FriendsAndFriendsOfFriendsInCountries,hot,4,G0|G3|G7|G9,G0|G3|G7|G9,4,association,3,provisional
ldbc_snb,sf0.1,IC4_NewTopics,cold,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf0.1,IC4_NewTopics,hot,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf0.1,IC5_NewGroups,cold,6,G0|G3|G4|G6|G7|G9,G0|G3|G4|G6|G7|G9,6,association,2,provisional
ldbc_snb,sf0.1,IC5_NewGroups,hot,6,G0|G3|G4|G6|G7|G9,G0|G3|G4|G6|G7|G9,6,association,2,provisional
ldbc_snb,sf0.1,IC6_TagCoOccurrence,cold,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf0.1,IC6_TagCoOccurrence,hot,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf0.1,IC7_RecentLikers,cold,4,G0|G3|G4|G6,G0|G3|G4|G6,4,association,2,provisional
ldbc_snb,sf0.1,IC7_RecentLikers,hot,4,G0|G3|G4|G6,G0|G3|G4|G6,4,association,2,provisional
ldbc_snb,sf0.1,INS1_AddPerson,cold,2,G0|G3,G0|G3,2,local,0,provisional
ldbc_snb,sf0.1,INS1_AddPerson,hot,2,G0|G3,G0|G3,2,local,0,provisional
ldbc_snb,sf0.1,INS2_AddLikeToPost,cold,2,G4|G6,G4|G6,2,association,1,provisional
ldbc_snb,sf0.1,INS2_AddLikeToPost,hot,2,G4|G6,G4|G6,2,association,1,provisional
ldbc_snb,sf0.1,INS3_AddLikeToComment,cold,2,G4|G6,G4|G6,2,association,1,provisional
ldbc_snb,sf0.1,INS3_AddLikeToComment,hot,2,G4|G6,G4|G6,2,association,1,provisional
ldbc_snb,sf0.1,INS4_AddForum,cold,2,G0|G3,G0|G3,2,local,0,provisional
ldbc_snb,sf0.1,INS4_AddForum,hot,2,G0|G3,G0|G3,2,local,0,provisional
ldbc_snb,sf0.1,INS5_AddForumMembership,cold,2,G4|G6,G4|G6,2,association,1,provisional
ldbc_snb,sf0.1,INS5_AddForumMembership,hot,2,G4|G6,G4|G6,2,association,1,provisional
ldbc_snb,sf0.1,INS6_AddPost,cold,4,G0|G3|G7|G9,G0|G3|G7|G9,4,containment,1,provisional
ldbc_snb,sf0.1,INS6_AddPost,hot,4,G0|G3|G7|G9,G0|G3|G7|G9,4,containment,1,provisional
ldbc_snb,sf0.1,INS7_AddComment,cold,4,G0|G3|G7|G9,G0|G3|G7|G9,4,containment,1,provisional
ldbc_snb,sf0.1,INS7_AddComment,hot,4,G0|G3|G7|G9,G0|G3|G7|G9,4,containment,1,provisional
ldbc_snb,sf0.1,INS8_AddFriendship,cold,2,G0|G3,G0|G3,2,association,1,provisional
ldbc_snb,sf0.1,INS8_AddFriendship,hot,2,G0|G3,G0|G3,2,association,1,provisional
ldbc_snb,sf0.1,IS1_ProfileOfPerson,cold,2,G0|G3,G0|G3,2,local,0,provisional
ldbc_snb,sf0.1,IS1_ProfileOfPerson,hot,2,G0|G3,G0|G3,2,local,0,provisional
ldbc_snb,sf0.1,IS2_RecentMessagesOfPerson,cold,6,G0|G3|G4|G6|G7|G9,G0|G3|G4|G6|G7|G9,6,association,1,provisional
ldbc_snb,sf0.1,IS2_RecentMessagesOfPerson,hot,6,G0|G3|G4|G6|G7|G9,G0|G3|G4|G6|G7|G9,6,association,1,provisional
ldbc_snb,sf0.1,IS3_FriendsOfPerson,cold,2,G0|G3,G0|G3,2,association,1,provisional
ldbc_snb,sf0.1,IS3_FriendsOfPerson,hot,2,G0|G3,G0|G3,2,association,1,provisional
ldbc_snb,sf0.1,IS4_ContentOfMessage,cold,2,G0|G1,G1,1,local,0,provisional
ldbc_snb,sf0.1,IS4_ContentOfMessage,hot,2,G0|G1,G1,1,local,0,provisional
ldbc_snb,sf0.1,IS5_CreatorOfMessage,cold,2,G0|G3,G0|G3,2,association,1,provisional
ldbc_snb,sf0.1,IS5_CreatorOfMessage,hot,2,G0|G3,G0|G3,2,association,1,provisional
ldbc_snb,sf0.1,IS6_ForumOfMessage,cold,4,G0|G3|G7|G9,G0|G3|G7|G9,4,association,1,provisional
ldbc_snb,sf0.1,IS6_ForumOfMessage,hot,4,G0|G3|G7|G9,G0|G3|G7|G9,4,association,1,provisional
ldbc_snb,sf0.1,IS7_RepliesOfMessage,cold,4,G0|G3|G7|G9,G0|G3|G7|G9,4,containment,1,provisional
ldbc_snb,sf0.1,IS7_RepliesOfMessage,hot,4,G0|G3|G7|G9,G0|G3|G7|G9,4,containment,1,provisional
ldbc_snb,sf1,IC1_TransitiveFriendsWithName,cold,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf1,IC1_TransitiveFriendsWithName,hot,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf1,IC2_RecentMessagesByFriends,cold,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf1,IC2_RecentMessagesByFriends,hot,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf1,IC3_FriendsAndFriendsOfFriendsInCountries,cold,4,G0|G3|G7|G9,G0|G3|G7|G9,4,association,3,provisional
ldbc_snb,sf1,IC3_FriendsAndFriendsOfFriendsInCountries,hot,4,G0|G3|G7|G9,G0|G3|G7|G9,4,association,3,provisional
ldbc_snb,sf1,IC4_NewTopics,cold,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf1,IC4_NewTopics,hot,2,G0|G3,G0|G3,2,association,2,provisional
ldbc_snb,sf1,IC5_NewGroups,cold,6,G0|G3|G4|G6|G7|G9,G0|G3|G4|G6|G7|G9,6,association,2,provisional
