collection,index,reason,status
lmm_industry,INDUSTRYSECTORCLASSIFIERID,edge_secondary_collection_index,skipped_missing_collection
_src_fiben_industries,INDUSTRYSECTORCLASSIFIERID,auxiliary_embedding_foreign_index,created
lmm_report_element,ELEMENTSOFFINANCIALREPORTID,edge_parent_or_reference_index,created
lmm_report_element,ELEMENTOFFINANCIALSTATEMENTID,edge_parent_or_reference_index,created
lmm_statement_element,ELEMENTSOFFINANCIALREPORTID,edge_secondary_collection_index,created
lmm_statement_element,ELEMENTOFFINANCIALSTATEMENTID,edge_secondary_collection_index,created
lmm_financial_report,HASUNIQUEIDENTIFIER,edge_parent_or_reference_index,created
lmm_financial_report,HASUNIQUEIDENTIFIER,edge_parent_or_reference_index,created
lmm_disclosure,HASUNIQUEIDENTIFIER,edge_secondary_collection_index,created
lmm_disclosure,HASUNIQUEIDENTIFIER,edge_secondary_collection_index,created
lmm_listed_security,CORPORATIONID,edge_parent_or_reference_index,created
lmm_listed_security,LISTEDSECURITYID,edge_parent_or_reference_index,created
lmm_listed_security,ISPROVIDEDBY,edge_parent_or_reference_index,created
lmm_listed_security,ISTRADEDON,edge_parent_or_reference_index,created
lmm_corporation,CORPORATIONID,edge_secondary_collection_index,created
lmm_corporation,LISTEDSECURITYID,edge_secondary_collection_index,created
lmm_corporation,ISPROVIDEDBY,edge_secondary_collection_index,created
lmm_corporation,ISTRADEDON,edge_secondary_collection_index,created
lmm_listed_security,LISTEDSECURITYID,edge_parent_or_reference_index,created
lmm_listed_security,ISTRADEDON,edge_parent_or_reference_index,created
lmm_security,LISTEDSECURITYID,edge_secondary_collection_index,created
lmm_security,ISTRADEDON,edge_secondary_collection_index,created
